Puerto Williams,-54.9333,-67.6167
Ushuaia,-54.79,-68.31
Grytviken,-54.2806,-36.508
Rio Grande,-53.7914,-67.699
Punta Arenas,-53.165,-70.94
Río Verde,-52.65,-71.4666
Puerto Natales,-51.7183,-72.5117
Stanley,-51.7,-57.85
28 de Noviembre,-51.65,-72.3
Río Gallegos,-51.6333,-69.2166
El Calafate,-50.3333,-72.3
Comondante Luis Piedrabuena,-49.9745,-68.9035
Puerto San Julián,-49.3,-67.7167
Gobernador Gregores,-48.7666,-70.25
Villa O'Higgins,-48.4679,-72.56
Puerto Deseado,-47.75,-65.9
Cochrane,-47.2663,-72.5499
Oban,-46.8876,168.1666
Perito Moreno,-46.6,-70.9334
Invercargill,-46.4094,168.365
Gore,-46.0947,168.9604
Dunedin,-45.8854,170.491
Comodoro Rivadavia,-45.87,-67.5
Paso Rio Mayo,-45.6834,-70.2666
Sarmiento,-45.6,-69.0833
Coihaique,-45.57,-72.07
Te Anau,-45.4074,167.7585
Puerto Aisén,-45.3999,-72.7
Alto Rio Sanguer,-45.0333,-70.8333
Queenstown,-45.0227,168.7251
Wanaka,-44.698,169.1449
Timaru,-44.3972,171.2425
Waitangi,-44.0263,-176.3696
Ashburton,-43.8983,171.7486
Christchurch,-43.535,172.63
Kaiapoi,-43.3813,172.651
Rawson,-43.3,-65.1
Trelew,-43.25,-65.33
Quellón,-43.0996,-73.6
Kingston,-42.9911,147.3084
Esquel,-42.9,-71.3166
Hobart,-42.85,147.295
Puerto Madryn,-42.77,-65.04
Hokitika,-42.7072,171.01
Chonchi,-42.61,-73.8099
Castro,-42.4808,-73.7623
Greymouth,-42.4716,171.2231
Kaikoura,-42.4012,173.6897
Telsen,-42.3996,-66.95
Oatlands,-42.2996,147.3666
Gastre,-42.283,-69.2333
Queenstown,-42.0829,145.55
El Maitén,-42.05,-71.1666
Bicheno,-41.8784,148.2886
Ancud,-41.87,-73.83
Westport,-41.7638,171.6028
Calbuco,-41.7522,-73.1416
Puerto Montt,-41.47,-72.93
Launceston,-41.4498,147.1302
Puerto Varas,-41.33,-72.99
Ingeniero Jacobacci,-41.3,-69.5833
Wellington,-41.3,174.7833
Nelson,-41.2926,173.2474
Picton,-41.2805,174.0166
Lower Hutt,-41.2037,174.9123
Devonport,-41.1927,146.3311
San Carlos de Bariloche,-41.15,-71.3
Scottsdale,-41.1495,147.5167
Upper Hutt,-41.1355,175.029
Porirua,-41.1219,174.8524
Burnie,-41.0666,145.9167
Comallo,-41.0333,-70.2666
Masterton,-40.9439,175.6456
Paraparaumu,-40.9034,174.9989
Smithton,-40.8329,145.1167
Viedma,-40.8,-63
San Antonio Oeste,-40.7329,-64.9333
