,Sehovici,02,,44.4791667,17.2058333
ba,sehovina,Sehovina,01,,43.7344444,18.3669444
ba,sehovina,Sehovina,02,,43.2516667,18.1197222
ba,seizovici,Seizovici,01,,44.8166667,16.4502778
ba,sejarici,Sejarici,01,,44.5963889,16.7588889
ba,sejdanovici,Sejdanovici,01,,43.7975,18.1366667
ba,sejdici,Sejdici,01,,45.0488889,16.0791667
ba,sejkovici,Sejkovici,02,,44.2986111,18.8527778
ba,sejkovic,Sejkovic,02,,44.2986111,18.8527778
ba,sejmeni,Sejmeni,02,,44.6775,17.2525
ba,sejmenovici,Sejmenovici,02,,44.2575,19.0611111
ba,sejmen-polje,Sejmen-Polje,01,,44.6141667,17.9683333
ba,sekic mahala,Sekic Mahala,02,,44.8075,18.975
ba,sekovac,Sekovac,01,,44.5016667,16.4086111
ba,sekovici,Sekovici,02,6315,44.2986111,18.8527778
ba,sekulici,Sekulici,01,,44.5547222,18.2536111
ba,sekulici,Sekulici,02,,44.2405556,18.9122222
ba,sekulici,Sekulici,BD,,44.8769444,18.7369444
ba,sekulovici,Sekulovici,01,,43.4947222,17.1925
ba,selacka,Selacka,02,,44.4630556,17.6091667
ba,selacko brdo,Selacko Brdo,02,,45.1238889,17.0908333
ba,selakovici,Selakovici,01,,43.9538889,17.9
ba,selakovici,Selakovici,02,,44.2227778,18.9522222
ba,selakovina,Selakovina,02,,44.0008333,18.8811111
ba,selakovo zarude,Selakovo Zarude,01,,44.2036111,18.3338889
ba,selari,Selari,01,,43.6747222,18.9594444
ba,sela,Sela,02,,43.425,18.2769444
ba,selici,Selici,01,,44.2638889,17.4747222
ba,selimovici,Selimovici,01,,44.0883333,18.2475
ba,selimovina,Selimovina,01,,44.2072222,17.3833333
ba,selina,Selina,01,,43.4038889,17.6386111
ba,selina,Selina,02,,42.8969444,18.3611111
ba,seline,Seline,01,,43.3122222,17.3161111
ba,seline,Seline,02,,43.0308333,18.4716667
ba,selisca,Selisca,01,,44.1986111,18.0194444
ba,selisce,Selisce,01,,43.9058333,18.2652778
ba,selisko polje,Selisko Polje,02,,44.3186111,18.8980556
ba,selista,Selista,01,,43.9622222,18.3475
ba,selista,Selista,02,,42.9119444,18.4158333
ba,seliste,Seliste,01,,43.2830556,17.7511111
ba,seliste,Seliste,02,,42.9763889,18.4258333
ba,seljani,Seljani,01,,43.6822222,17.8733333
ba,seljani,Seljani,02,,43.4605556,18.1652778
ba,seljani,Seljani,BD,,44.8125,18.5719444
ba,seljanusa,Seljanusa,01,,44.6972222,18.3308333
ba,seljublje,Seljublje,01,,44.5241667,18.8491667
ba,selmani,Selmani,01,,44.1538889,17.4961111
ba,selmani,Selmani,02,,44.5133333,17.9286111
ba,selmanovici,Selmanovici,02,,43.7336111,19.0638889
ba,selo,Selo,01,,43.1558333,17.7783333
ba,selo,Selo,02,,43.6802778,19.2516667
ba,semaljka,Semaljka,01,,44.1163889,18.0541667
ba,semanici,Semanici,01,,44.9505556,15.9044444
ba,sembasici,Sembasici,01,,43.9622222,17.9466667
ba,semec,Semec,02,,43.8108333,19.1669444
ba,semenovac,Semenovac,02,,44.3111111,17.1261111
ba,semenovci,Semenovci,02,,44.0869444,17.13
ba,semetis,Semetis,01,,44.1747222,18.1577778
ba,semici,Semici,01,,44.4975,18.4125
ba,semici,Semici,02,,44.4238889,17.5436111
ba,semihova,Semihova,01,,43.6763889,18.8344444
ba,semihovo,Semihovo,01,,43.6763889,18.8344444
ba,semin,Semin,01,,44.155,17.3572222
ba,semizovac,Semizovac,01,,43.92,18.3194444
ba,semizova ponikva,Semizova Ponikva,01,,44.1797222,18.2919444
ba,semsibegovi-luzane,Semsibegovi-Luzane,02,,45.0116667,17.9802778
ba,sena krena,Sena Krena,02,,43.8422222,18.9888889
ba,sendici,Sendici,02,,43.8761111,19.2516667
ba,senjaci,Senjaci,01,,43.4402778,17.3455556
ba,senjak,Senjak,02,,44.8861111,17.99
ba,senkovici,Senkovici,01,,44.1302778,17.6088889
ba,senkovici,Senkovici,02,,43.8769444,18.9086111
ba,seoca,Seoca,01,,44.0558333,18.0938889
ba,seoca,Seoca,02,,43.6747222,19.1313889
ba,seoce,Seoce,01,,44.0236111,18.2952778
ba,seoce,Seoce,02,,43.8227778,18.79
ba,seoci,Seoci,01,,43.9091667,17.6508333
ba,seona,Seona,01,,44.0647222,17.6922222
ba,seona,Seona,02,,44.0775,19.5002778
ba,seonica,Seonica,01,,43.6083333,17.305
ba,seonjaci,Seonjaci,BD,,44.8205556,18.6030556
ba,sepak donji,Sepak Donji,02,,44.5308333,19.1675
ba,sepak gornji,Sepak Gornji,02,,44.5505556,19.1575
ba,sepak pravoslavni,Sepak Pravoslavni,02,,44.5308333,19.1675
ba,seperci,Seperci,01,,44.115,18.2308333
ba,seperovici,Seperovici,01,,44.8208333,18.3711111
ba,seperovic,Seperovic,01,,44.8208333,18.3711111
ba,sepetari,Sepetari,01,,44.535,18.7183333
ba,sepici,Sepici,01,,44.9586111,15.9344444
ba,serbedzije,Serbedzije,01,,44.1963889,16.4561111
ba,serdari,Serdari,02,,44.6033333,17.4427778
ba,sereg ilova,Sereg Ilova,02,,44.9333333,17.7061111
ba,sereg ilovo,Sereg Ilovo,02,,44.9333333,17.7061111
ba,sereg,Sereg,02,,44.8858333,17.9072222
ba,serhatlije,Serhatlije,01,,44.7588889,18.3516667
ba,serici,Serici,01,3663,44.4652778,18.5580556
ba,seric,Seric,01,,44.4652778,18.5580556
ba,serifici,Serifici,02,,43.7691667,18.3597222
ba,sermetovici,Sermetovici,01,,44.3902778,18.8436111
ba,serovina,Serovina,01,,43.7669444,17.6069444
ba,servani,Servani,01,,44.1283333,17.4891667
ba,sesici,Sesici,01,,44.2686111,17.525
ba,sesici,Sesici,02,,44.8416667,17.0502778
ba,seskovci,Seskovci,02,,44.965,17.4344444
ba,seslaci,Seslaci,02,,44.6208333,18.3630556
ba,seslic,Seslic,02,,44.7130556,18.9188889
ba,seslija,Seslija,02,,44.8530556,18.0616667
ba,seslije,Seslije,02,,43.7955556,18.3522222
ba,sesnaesti-kilometar,Sesnaesti-Kilometar,01,,44.5086111,16.2786111
ba,sestani,Sestani,01,,44.6783333,18.3505556
ba,sestanovac,Sestanovac,01,,45.1419444,15.9577778
ba,sestici,Sestici,01,,44.7302778,18.4705556
ba,sestici,Sestici,02,,45.0372222,17.1113889
ba,sestrina,Sestrina,01,,43.1547222,17.7305556
ba,sesumi,Sesumi,01,,43.8913889,17.2638889
ba,sesum,Sesum,01,,44.1719444,17.4083333
ba,setici,Setici,02,,43.8866667,19.0658333
ba,setihovo,Setihovo,02,,43.6622222,19.2741667
ba,sevarike,Sevarike,02,,44.5147222,17.3797222
