gtingchi,Chingtingchi,01,,33.618611,116.431667
cn,chingting,Chingting,01,,33.618611,116.431667
cn,chingting,Chingting,05,,44.783333,126.8
cn,chingtipa,Chingtipa,29,,28.20063,103.582255
cn,chingto,Chingto,14,,30.066667,95.7
cn,chingtossu,Chingtossu,25,,35.400833,118.2825
cn,chingtotsung,Chingtotsung,14,,30.066667,95.7
cn,chingtouao,Chingtouao,02,,30.109444,122.161111
cn,chingtouchen,Chingtouchen,24,,35.001389,110.733611
cn,chingtouchiang,Chingtouchiang,11,,26.96,112.134722
cn,chingtou,Chingtou,01,,33.116667,117.933333
cn,chingtou,Chingtou,07,,24.645278,118.522222
cn,chingtou,Chingtou,11,,26.396667,111.389444
cn,chingtou,Chingtou,24,,35.001389,110.733611
cn,chingtouchu,Chingtouchu,02,,28.496111,121.203333
cn,chingtouhsu,Chingtouhsu,11,,26.396667,111.389444
cn,chingtsaoko,Chingtsaoko,01,,30.848889,116.758611
cn,chingtsaoping,Chingtsaoping,26,,35.286944,108.794722
cn,chingtsaoshih,Chingtsaoshih,11,,28.053611,113.572222
cn,chingtsih,Chingtsih,21,,37.933333,106.123056
cn,chingtsuchi,Chingtsuchi,09,,35.514722,115.025
cn,chingtsu,Chingtsu,09,,35.514722,115.025
cn,chingtsunchen,Chingtsunchen,26,,34.040833,110.247778
cn,chingtsunchiangchen,Chingtsunchiangchen,23,,30.924734,121.579944
cn,chingtsunchiang,Chingtsunchiang,23,,30.924734,121.579944
cn,chingtsun,Chingtsun,23,,30.924734,121.579944
cn,chingtsun,Chingtsun,24,,35.979722,112.123056
cn,chingtsun,Chingtsun,26,,34.040833,110.247778
cn,chingtsunkangchen,Chingtsunkangchen,23,,30.924734,121.579944
cn,chingtsunkang,Chingtsunkang,23,,30.924734,121.579944
cn,chingtuanchi,Chingtuanchi,01,,33.618611,116.431667
cn,chingtuan,Chingtuan,01,,33.618611,116.431667
cn,chingtuitzu,Chingtuitzu,19,,39.834722,123.275833
cn,chingtung,Chingtung,16,,22.891667,109.891667
cn,chingtung,Chingtung,29,,24.433745,100.81989
cn,chingtunghsiachan,Chingtunghsiachan,21,,37.883333,105.9
cn,chingtunghsiachen,Chingtunghsiachen,21,,37.896667,106.01
cn,chingtunghsia,Chingtunghsia,21,,37.896667,106.01
cn,chingtunghsiashih,Chingtunghsiashih,21,,37.896667,106.01
cn,chingtunghsien,Chingtunghsien,29,,24.433745,100.81989
cn,chingtunghsitsun,Chingtunghsitsun,30,,20.365556,110.020556
cn,chingtungkuan,Chingtungkuan,26,,33.229722,109.155556
cn,chingtungtzukou,Chingtungtzukou,20,,42.798889,118.918333
cn,chingtussu,Chingtussu,25,,35.400833,118.2825
cn,chingtzekuan,Chingtzekuan,09,,33.270278,110.994444
cn,chingtzu,Chingtzu,30,,20.673716,110.321218
cn,chingtzukuan,Chingtzukuan,09,,33.270278,110.994444
cn,chingtzuyao,Chingtzuyao,24,,39.61983,113.767611
cn,chingwai,Chingwai,05,,44.766667,123.883333
cn,chingwan,Chingwan,16,,22.211944,110.585
cn,chingwan,Chingwan,24,,35.466667,113.166667
cn,chingwanhsu,Chingwanhsu,16,,22.211944,110.585
cn,chingya,Chingya,29,,22.964444,103.987222
cn,chingyangcha,Chingyangcha,26,,37.370278,109.210833
cn,chingyangchen,Chingyangchen,04,,31.765953,120.24706
cn,chingyangchen,Chingyangchen,07,,24.819778,118.574145
cn,chingyangchengtun,Chingyangchengtun,05,,44.3,125.85
cn,chingyang,Chingyang,01,,30.633985,117.851703
cn,chingyang,Chingyang,04,,31.765953,120.24706
cn,chingyang,Chingyang,05,,44.3,125.85
cn,chingyang,Chingyang,07,,24.819778,118.574145
cn,chingyang,Chingyang,08,,45.35,128.816667
cn,chingyang,Chingyang,15,,35.998901,107.885475
cn,chingyang,Chingyang,26,,34.53,108.834167
cn,chingyanghsiencheng,Chingyanghsiencheng,26,,34.53,108.834167
cn,chingyanghsien,Chingyanghsien,01,,30.633985,117.851703
cn,chingyanghsien,Chingyanghsien,15,,35.998901,107.885475
cn,chingyanghsien,Chingyanghsien,26,,34.53,108.834167
cn,chingyangi,Chingyangi,26,,33.084432,106.390106
cn,chingyangkou,Chingyangkou,24,,39.100153,113.864678
cn,chingyangshan,Chingyangshan,20,,37.616667,104.033333
cn,chingyangshuping,Chingyangshuping,26,,36.433333,108.733333
cn,chingyangta,Chingyangta,26,,34.47,108.971389
cn,chingyangtao,Chingyangtao,02,,28.540833,121.393611
cn,chingyaochen,Chingyaochen,26,,34.845402,109.444102
cn,chingyao,Chingyao,26,,34.845402,109.444102
cn,chingyaohsu,Chingyaohsu,11,,25.9975,113.578333
cn,chingyaopu,Chingyaopu,11,,25.9975,113.578333
cn,chingyehshu,Chingyehshu,11,,27.585278,109.801667
cn,chingyen,Chingyen,18,,26.333333,106.666667
cn,chingyen,Chingyen,32,,29.650681,104.067234
cn,chingyenhsien,Chingyenhsien,32,,29.650681,104.067234
cn,chingyenwopeng,Chingyenwopeng,08,,46.341389,126.779444
cn,chingyn,Chingyn,13,,42.783333,94.6
cn,chingyuanchen,Chingyuanchen,16,,24.5,108.666667
cn,chingyuanchen,Chingyuanchen,19,,42.098889,124.922222
cn,chingyuancheng,Chingyuancheng,24,,37.617478,112.325826
cn,chingyuan,Chingyuan,02,,27.621667,119.059167
cn,chingyuan,Chingyuan,07,,24.979722,117.318333
cn,chingyuan,Chingyuan,10,,38.7575,115.483056
cn,chingyuan,Chingyüan,15,,36.567778,104.682778
cn,chingyuan,Chingyuan,16,,24.5,108.666667
cn,chingyuan,Chingyuan,19,,42.098889,124.922222
cn,chingyuan,Chingyüan,21,,35.483333,106.333333
cn,chingyuan,Chingyuan,24,,37.617478,112.325826
cn,chingyuan,Chingyuan,30,,23.7,113.033333
cn,chingyuang,Chingyuang,10,,38.851111,115.490278
cn,chingyuanhsien,Chingyuanhsien,02,,27.621667,119.059167
cn,chingyuanhsien,Chingyuanhsien,10,,38.851111,115.490278
cn,chingyuanhsien,Chingyüanhsien,15,,36.567778,104.682778
cn,chingyuanhsien,Chingyuanhsien,19,,42.098889,124.922222
cn,chingyuanhsien,Chingyuanhsien,24,,37.617478,112.325826
cn,chingyuanhsien,Chingyuanhsien,30,,23.7,113.033333
cn,chingyuanhsienhuitsutzuchihchu,Chingyuanhsienhuitsutzuchihchu,21,,35.483333,106.333333
cn,chingyuanhuitsutzuchihhsien,Chingyüanhuitsutzuchihhsien,21,,35.483333,106.333333
cn,chingyuani,Chingyüani,13,,44.3,86.216667
cn,chingyuanjih,Chingyüanjih,13,,44.3,86.216667
cn,chingyuanshan,Chingyuanshan,03,,27.066667,115.05
cn,chingyuchen,Chingyüchen,05,,42.372673,126.801146
cn,chingyu,Chingyu,02,,28.36,121.244167
cn,chingyu,Chingyü,05,,42.372673,126.801146
cn,chingyu,Chingyü,24,,36.433333,113.233333
cn,chingyuhochen,Chingyuhochen,26,,33.556944,110.734444
cn,chingyuho,Chingyuho,26,,33.556944,110.734444
cn,chingyukou,Chingyükou,24,,37.363056,113.529444
cn,chingyunchengkuan,Chingyunchengkuan,10,,37.883333,117.383333
cn,chingyunchiao,Chingyunchiao,02,,30.27,119.591667
cn,chingyun,Chingyun,02,,30.27,119.591667
cn,chingyun,Chingyun,10,,37.883333,117.383333
cn,chingyun,Chingyun,25,,37.776389,117.388333
cn,chingyun,Chingyun,26,,38.276667,109.806389
cn,chingyunhsien,Chingyunhsien,10,,37.883333,117.383333
cn,chingyunpu,Chingyunpu,19,,42.546944,123.851389
cn,chingyunssu,Chingyunssu,19,,41.413611,125.2625
cn,chingyuntien,Chingyuntien,22,,39.675,116.501111
cn,chingyutien,Chingyutien,22,,39.675,116.501111
cn,chingyutsun,Chingyutsun,24,,36.433333,113.233333
cn,chinhai,Chinhai,02,,29.969497,121.687529
cn,chinhochen,Chinhochen,11,,27.716944,109.604722
cn,chinho,Chinho,11,,27.716944,109.604722
cn,chinho,Chinho,13,,44.65,82.833333
cn,chinho,Chinho,20,,51.332222,121.501111
cn,chinho,Chinho,24,,39.721978,113.107835
cn,chinho,Chinho,26,,38.266667,109.65
cn,chinho,Chinho,29,,22.766667,103.25
cn,chinho,Chinho,30,,20.578333,110.416389
cn,chinhochuang,Chinhochuang,25,,36.85,115.958333
cn,chinhokou,Chinhokou,26,,38.266667,109.65
cn,chinhowan,Chinhowan,26,,36.366667,109.75
cn,chinhsiangchen,Chinhsiangchen,04,,31.663852,120.246568
cn,chinhsiang,Chinhsiang,02,,27.432654,120.60625
cn,chinhsiang,Chinhsiang,25,,35.064722,116.310278
cn,chinhsianghsien,Chinhsianghsien,25,,35.064722,116.310278
cn,chinhsiangkou,Chinhsiangkou,24,,34.75,110.45
cn,chinhsichen,Chinhsichen,19,,40.764317,120.85327
cn,chinhsi,Chinhsi,02,,28.996389,121.303889
cn,chinhsi,Chinhsi,03,,27.911318,116.77637
cn,chinhsi,Chinhsi,19,,40.764317,120.85327
cn,chinhsi,Chinhsi,32,,31.128099,106.341239
cn,chinhsienchengkuan,Chinhsienchengkuan,10,,38.027222,114.033889
cn,chinhsienchi,Chinhsienchi,01,,33.45,117.016667
cn,chinhsien,Chinhsien,03,,28.366667,116.233333
cn,chinhsien,Chinhsien,10,,38.027222,114.033889
cn,chinhsien,Chinhsien,16,,21.95,108.616667
cn,chinhsien,Chinhsien,19,,41.165278,121.366667
cn,chinhsien,Chinhsien,24,,36.763056,112.687222
cn,chinhsienhsiencheng,Chinhsienhsiencheng,03,,28.366667,116.233333
cn,chinhsienhsien,Chinhsienhsien,03,,28.366667,116.233333
cn,chinhsiuchen,Chinhsiuchen,16,,24.137208,110.180091
cn,chinhsiu,Chinhsiu,16,,24.137208,110.180091
cn,chinhsiuhsiang,Chinhsiuhsiang,16,,24.137208,110.180091
cn,chinhsiukuchih,Chinhsiukuchih,16,,24.137208,110.180091
cn,chinhsiutsun,Chinhsiutsun,16,,24.137208,110.180091
cn,chinhuachen,Chinhuachen,32,,30.989835,105.286151
cn,chinhua,Chinhua,02,,29.107778,119.654722
cn,chinhua,Chinhua,05,,42.339722,126.078611
cn,chinhuahsiencheng,Chinhuahsiencheng,02,,29.107778,119.654722
cn,chinhuahsien,Chinhuahsien,02,,29.107778,119.654722
cn,chinhuangtao,Chinhuangtao,10,,39.931667,119.588333
cn,chinhuangtaoshih,Chinhuangtaoshih,10,,39.931667,119.588333
cn,chinhuashih,Chinhuashih,02,,29.107778,119.654722
cn,chinhu,Chinhu,04,,32.3,120.383333
cn,chinhuichiao,Chinhuichiao,23,,30.989732,121.492509
cn,chinhuo,Chinhuo,13,,44.65,82.833333
cn,chini,Chini,11,,26.702222,110.923333
cn,chini,Chini,24,,38.221944,112.4425
cn,chini,Chini,30,,23.076048,115.337788
cn,chiniling,Chiniling,30,,23.197386,114.925635
cn,chiningchieh,Chiningchieh,08,,45.3,130.966667
cn,chining,Chining,08,,45.3,130.966667
cn,chining,Chining,20,,41.0275,113.105833
cn,chining,Chining,25,,35.405,116.581389
cn,chininghsien,Chininghsien,20,,41.0275,113.105833
cn,chininghsien,Chininghsien,25,,35.405,116.581389
cn,chiningshih,Chiningshih,20,,41.0275,113.105833
cn,chiningshih,Chiningshih,25,,35.405,116.581389
cn,chiniquan,Chiniquan,24,,39.001258,112.47906
cn,chinishan,Chinishan,30,,23.03067,116.157239
cn,chinishe,Chinishe,24,,38.221944,112.4425
cn,chinitsun,Chinitsun,24,,36.086389,112.699167
cn,chiniupo,Chiniupo,15,,34.564238,104.549883
cn,chiniwa,Chiniwa,24,,38.202778,112.123889
cn,chinjui,Chinjui,03,,27.926767,114.201821
cn,chinkai,Chinkai,13,,41.611667,86.204722
cn,chinkang,Chinkang,11,,27.908611,113.684722
cn,chinkangku,Chinkangku,24,,38.880278,113.660833
cn,chinkangling,Chinkangling,24,,36.133333,111.05
cn,chinkangto,Chinkangto,33,,29.16,106.081389
cn,chinkangtou,Chinkangtou,11,,27.908611,113.684722
cn,chinkeng,Chinkeng,02,,28.971667,121.39
cn,chinkengkou,Chinkengkou,02,,28.562778,120.334444
cn,chinkengti,Chinkengti,02,,28.301667,120.3675
cn,chinkiang,Chinkiang,04,,32.209167,119.434167
cn,chinkiang,Chinkiang,31,,19.729167,110.006389
cn,chinkouchiao,Chinkouchiao,04,,32.983056,119.100833
cn,chinkou,Chinkou,03,,29.323212,115.277515
cn,chinkou,Chinkou,04,,32.983056,119.100833
cn,chinkou,Chinkou,12,,30.340085,114.129891
cn,chinkou,Chinkou,19,,41.616667,120.55
cn,chinkou,Chinkou,24,,38.85,112.85
cn,chinkou,Chinkou,25,,36.597778,120.767778
cn,chinkouho,Chinkouho,32,,29.246932,103.082491
cn,chinkoukuan,Chinkoukuan,26,,33.990556,107.111667
cn,chinkoutsun,Chinkoutsun,24,,38.85,112.85
cn,chinkoutun,Chinkoutun,10,,41.049167,117.505
cn,chinkoutzu,Chinkoutzu,19,,42.633333,124
cn,chinkuanchen,Chinkuanchen,26,,35.530833,109.507222
cn,chinkuan,Chinkuan,26,,35.530833,109.507222
cn,chinkuan,Chinkuan,29,,26.75,100.683333
cn,chinkuang,Chinkuang,32,,28.233333,101.866667
cn,chinkungchang,Chinkungchang,32,,31.102275,105.653322
cn,chinkungchen,Chinkungchen,04,,33.65,119.233333
cn,chinkung,Chinkung,04,,33.65,119.233333
cn,chinkung,Chinkung,32,,31.102275,105.653322
cn,chinkushan,Chinkushan,02,,28.336111,120.776667
cn,chinlanchen,Chinlanchen,01,,32.6075,119.178889
cn,chinlan,Chinlan,01,,32.6075,119.178889
cn,chinlanchuang,Chinlanchuang,25,,36.3275,119.877778
cn,chinlanshih,Chinlanshih,11,,27.125,112.0925
cn,chinlanssu,Chinlanssu,11,,27.125,112.0925
cn,chinli,Chinli,01,,32.854167,118.161944
cn,chinli,Chinli,25,,37.469722,120.889167
cn,chinli,Chinli,30,,23.078611,112.777391
cn,chinlin,Chinlin,20,,51.147222,121.277778
cn,chinlingchan,Chinlingchan,26,,34.2,106.866667
cn,chinlingchen,Chinlingchen,25,,36.799167,118.193333
cn,chinling,Chinling,26,,34.2,106.866667
cn,chinlingssu,Chinlingssu,19,,41.694444,120.823611
cn,chinlingssu,Chinlingssu,26,,33.885556,109.807778
cn,chinlingting,Chinlingting,26,,34.2,106.866667
cn,chinlingyu,Chinlingyü,28,,40.113333,117.509722
cn,chinlochen,Chinlochen,24,,37.435278,111.116111
cn,chinlo,Chinlo,24,,37.435278,111.116111
cn,chinlung,Chinlung,16,,22.650833,106.8725
cn,chinlunghsu,Chinlunghsü,16,,22.650833,106.8725
cn,chinma,Chinma,15,,39.866667,96.766667
cn,chinmiaopu,Chinmiaopu,24,,35.330556,112.838056
cn,chinmientsun,Chinmientsun,29,,27.166667,100.633333
cn,chinmingssu,Chinmingssu,26,,38.055278,110.286111
cn,chinnan,Chinnan,04,,33.253056,119.913333
cn,chinnantsang,Chinnantsang,04,,33.253056,119.913333
cn,chinning,Chinning,29,,24.667528,102.591898
cn,chinniuchen,Chinniuchen,01,,31.397778,117.206111
cn,chinniuchen,Chinniuchen,12,,30.016667,114.616667
cn,chinniu,Chinniu,01,,31.397778,117.206111
cn,chinniu,Chinniu,12,,30.016667,114.616667
cn,chinniuping,Chinniuping,26,,33.928611,108.350556
cn,chino,Chino,30,,21.566667,111.833333
cn,chinossu,Chinossu,02,,29.640833,121.573333
cn,chinpailing,Chinpailing,01,,30.083333,116.116667
cn,chinpan,Chinpan,24,,39.064027,113.009692
cn,chinpan,Chinpan,30,,20.932094,109.772177
cn,chinpantsun,Chinpantsun,24,,39.064027,113.009692
cn,chinpao,Chinpao,16,,24.8,110.316667
cn,chinpaohsu,Chinpaohsü,16,,24.8,110.316667
cn,chinpaotun,Chinpaotun,20,,43.363056,123.599722
cn,chinpeiling,Chinpeiling,01,,30.083333,116.116667
cn,chinpen,Chinpen,20,,41.033333,112.533889
cn,chinpenwan,Chinpenwan,26,,36.366667,109.75
cn,chinpichen,Chinpichen,29,,25.708552,101.336794
cn,chinpichieh,Chinpichieh,29,,25.708552,101.336794
cn,chinpi,Chinpi,24,,36.233333,111.7
cn,chinpi,Chinpi,29,,25.708552,101.336794
cn,chinpiling,Chinpiling,01,,30.083333,116.116667
cn,chinping,Chinping,18,,26.681944,109.192778
cn,chinping,Chinping,19,,40.394167,122.368611
cn,chinping,Chinping,29,,22.766667,103.25
cn,chinpinghsien,Chinpinghsien,18,,26.681944,109.192778
cn,chinpinghsien,Chinpinghsien,29,,22.766667,103.25
cn,chinpitsun,Chinpitsun,24,,36.233333,111.7
cn,chinpo,Chinpo,30,,20.836165,109.945465
cn,chinpu,Chinpu,12,,30.883333,115.633333
cn,chinqente,Chinqêntê,14,,32.205,92.205
cn,chinshaao,Chinshaao,02,,30.046111,121.463056
cn,chinshachen,Chinshachen,04,,32.089817,121.073546
cn,chinsha,Chinsha,01,,30.2644,118.729815
cn,chinsha,Chinsha,04,,32.089817,121.073546
cn,chinsha,Chinsha,07,,25.333333,118.583333
cn,chinsha,Chinsha,18,,27.467778,106.206111
cn,chinsha,Chinsha,24,,35.597322,111.418239
cn,chinsha,Chinsha,29,,22.766667,103.25
cn,chinshahsiang,Chinshahsiang,30,,23.477105,116.644537
cn,chinshahsien,Chinshahsien,18,,27.467778,106.206111
cn,chinshanchen,Chinshanchen,08,,51.883333,126.5
cn,chinshanchen,Chinshanchen,20,,41.916667,118.666667
cn,chinshanchen,Chinshanchen,26,,34.289899,109.380855
cn,chinshan,Chinshan,04,,34.243333,117.190833
cn,chinshan,Chinshan,08,,51.883333,126.5
cn,chinshan,Chinshan,20,,41.916667,118.666667
cn,chinshan,Chinshan,23,,30.723333,121.315
cn,chinshan,Chinshan,26,,34.289899,109.380855
cn,chinshan,Chinshan,30,,20.2875,110.300556
cn,chinshan,Chinshan,31,,19.998037,110.689565
cn,chinshan,Chinshan,32,,29.450527,103.901808
cn,chinshanchuang,Chinshanchuang,02,,28.528889,120.434167
cn,chinshanhsien,Chinshanhsien,23,,30.901002,121.159657
cn,chinshanpu,Chinshanpu,24,,38.573889,112.730278
cn,chinshanssu,Chinshanssu,26,,32.735833,105.585833
cn,chinshantou,Chinshantou,02,,28.319167,120.793889
cn,chinshantsuichen,Chinshantsuichen,23,,30.73179,121.3677
cn,chinshantsui,Chinshantsui,23,,30.73179,121.3677
cn,chinshantsun,Chinshantsun,24,,37.336111,111.901111
cn,chinshantun,Chinshantun,08,,47.416667,129.416667
cn,chinshanwan,Chinshanwan,19,,40.216667,124.333333
cn,chinshanweicheng,Chinshanweicheng,23,,30.723333,121.315
cn,chinshanwei,Chinshanwei,23,,30.723333,121.315
cn,chinshatan,Chinshatan,24,,39.676389,112.903333
cn,chinshatsun,Chinshatsun,24,,35.597322,111.418239
cn,chinshawan,Chinshawan,32,,28.471084,104.720027
cn,chinshen,Chinshen,10,,38.027222,114.033889
cn,chinshen,Chinshen,13,,42.783333,94.6
cn,chinsheng,Chinsheng,24,,37.771667,112.467778
cn,chinshentun,Chinshentun,01,,30.900556,116.983889
cn,chinshi,Chinshi,19,,40.764317,120.85327
cn,chinshihchen,Chinshihchen,11,,26.41796,110.800169
cn,chinshihchiao,Chinshihchiao,11,,27.582778,110.945278
cn,chinshih,Chinshih,11,,26.41796,110.800169
cn,chinshuchen,Chinshuchen,04,,31.380174,120.400889
cn,chinshuchiangchen,Chinshuchiangchen,04,,31.380174,120.400889
cn,chinshuchiang,Chinshuchiang,04,,31.380174,120.400889
cn,chinshu,Chinshu,04,,31.380174,120.400889
