yangjingou,Yangjingou,05,,43.093559,130.944781
cn,yangjingping,Yangjingping,30,,24.406944,112.975
cn,yangjingwu,Yangjingwu,01,,29.746209,117.082249
cn,yangjing,Yangjing,08,,46.089265,127.08481
cn,yangjing,Yangjing,11,,27.115833,109.6075
cn,yangjing,Yangjing,16,,25.048611,109.788333
cn,yangjing,Yangjing,23,,30.877857,121.101249
cn,yangjing,Yangjing,26,,37.333333,107.916667
cn,yangjinkeng,Yangjinkeng,30,,23.892195,115.483554
cn,yangjinlong,Yangjinlong,03,,29.334019,114.809468
cn,yangjin,Yangjin,03,,27.767463,114.913385
cn,yangjinzhuang,Yangjinzhuang,28,,39.885,117.398056
cn,yangjitai,Yangjitai,19,,41.717132,124.720768
cn,yangjiuchang,Yangjiuchang,32,,29.045342,105.541362
cn,yangjiuhe,Yangjiuhe,29,,25.496111,101.841111
cn,yangjiukeng,Yangjiukeng,03,,26.883812,115.815613
cn,yangjiu,Yangjiu,18,,28.358333,106.19
cn,yangjiu,Yangjiu,32,,29.045342,105.541362
cn,yangjixi,Yangjixi,07,,27.623333,118.751667
cn,yangji,Yangji,01,,31.319013,118.010359
cn,yangji,Yangji,03,,28.310883,118.117443
cn,yangji,Yangji,04,,33.422673,119.256854
cn,yangji,Yangji,07,,26.415137,117.484082
cn,yangji,Yangji,09,,35.740556,115.491111
cn,yangji,Yangji,11,,26.636667,113.2275
cn,yangji,Yangji,12,,30.773889,112.190556
cn,yangji,Yangji,14,,31.1,91.4
cn,yangji,Yangji,15,,33.967652,104.645473
cn,yangji,Yangji,18,,26.116944,107.776389
cn,yangji,Yangji,25,,34.764722,116.185
cn,yangji,Yangji,32,,31.78025,101.910794
cn,yangji zhen,Yangji Zhen,12,,31.218945,112.994916
cn,yangjuangou,Yangjuangou,24,,38.866667,111.883333
cn,yangjuanliang,Yangjuanliang,26,,38.116667,109.6
cn,yangjuanpu,Yangjuanpu,24,,39.43268,113.017809
cn,yangjuantou,Yangjuantou,24,,39.442047,113.014826
cn,yangjuan,Yangjuan,10,,39.907778,114.303611
cn,yangjuan,Yangjuan,11,,24.941667,111.893611
cn,yangjuan,Yangjuan,24,,39.521353,112.351608
cn,yangjuanzi,Yangjuanzi,19,,41.2825,121.626111
