dres,San Andrés,12,,20.9772222,-76.4405556
cu,san andres,San Andrés,14,,21.7666667,-79.3833333
cu,san andres,San Andrés,15,,20.2305556,-75.7158333
cu,san andres,San Andrés,16,,22.3666667,-79.6333333
cu,san anton de la anegada,San Anton de la Anegada,03,,22.9516667,-81.0844444
cu,san antonio de abajo,San Antonio de Abajo,16,,22.1666667,-79.5833333
cu,san antonio de baja,San Antonio de Baja,09,,20.2,-76.9
cu,san antonio de cabezas,San Antonio de Cabezas,03,,22.8416667,-81.6788889
cu,san antonio de el encanto,San Antonio de el Encanto,11,,23.1294444,-81.7097222
cu,san antonio de la anegada,San Antonio de la Anegada,03,,22.9516667,-81.0844444
cu,san antonio de lajas,San Antonio de Lajas,10,,20.2833333,-75.3333333
cu,san antonio de las vegas,San Antonio de las Vegas,11,,22.8522222,-82.2588889
cu,san antonio de las vueltas,San Antonio de las Vueltas,16,,22.5152778,-79.7019444
cu,san antonio de los banos,San Antonio de los Baños,11,42726,22.8911111,-82.4991667
cu,san antonio del rio blanco,San Antonio del Río Blanco,11,,23.0766667,-81.9619444
cu,san antonio del sur,San Antonio del Sur,10,,20.0566667,-74.8083333
cu,san antonio de rio blanco del norte,San Antonio de Río Blanco del Norte,11,,23.0766667,-81.9619444
cu,san antonio de rio blanco,San Antonio de Río Blanco,11,,22.8833333,-82.2166667
cu,san antonio de sabanilla,San Antonio de Sabanilla,16,,22.8833333,-80.35
cu,san antonio de valera,San Antonio de Valera,03,,22.8383333,-81.6094444
cu,san antonio de veitia,San Antonio de Veitía,11,,22.8666667,-80.3166667
cu,san antonio rio blanco,San Antonio Río Blanco,11,,23.0766667,-81.9619444
cu,san antonio,San Antonio,01,,22.2461111,-83.7413889
cu,san antonio,San Antonio,03,,22.5666667,-81.2166667
cu,san antonio,San Antonio,05,,20.9691667,-77.7369444
cu,san antonio,San Antonio,07,,21.705,-78.9358333
cu,san antonio,San Antonio,09,,20.1333333,-77.2833333
cu,san antonio,San Antonio,10,,20.0566667,-74.8083333
cu,san antonio,San Antonio,11,,22.75,-82.25
cu,san antonio,San Antonio,12,,20.9,-75.8333333
cu,san antonio,San Antonio,13,,20.9166667,-77.1166667
cu,san antonio,San Antonio,16,,22.4166667,-79.6
cu,san anton,San Antón,03,,22.9516667,-81.0844444
cu,san anton,San Antón,08,,22.1008333,-80.33
cu,san apapucio,San Apapucio,10,,20.25,-76.7166667
cu,san armando,San Armando,03,,22.9647222,-81.4936111
cu,san aurelio,San Aurelio,01,,22.5666667,-83.3166667
cu,san aurelio,San Aurelio,13,,21.2569444,-77.065
cu,san bartolo,San Bartolo,05,,21.3166667,-77.3833333
cu,san bartolo,San Bartolo,10,,20.2333333,-75.4
cu,san bartolo,San Bartolo,12,,20.6833333,-76.2
cu,san benigno,San Benigno,16,,22.4166667,-79.65
cu,san benito,San Benito,01,,22.2519444,-83.8197222
cu,san benito,San Benito,15,,20.1997222,-75.6797222
cu,san bernardo,San Bernardo,05,,21.3333333,-77.5666667
cu,san bernardo,San Bernardo,16,,22.7,-79.9
cu,san blas,San Blas,03,,22.1388889,-80.9388889
cu,san blas,San Blas,05,,21.2,-77.7333333
cu,san blas,San Blas,08,,21.9894444,-80.2222222
cu,san blas,San Blas,11,,22.8666667,-82.55
cu,san blas,San Blas,12,,20.7236111,-76.3936111
cu,san bonifacio,San Bonifacio,05,,21.0,-78.0
cu,san carlos del quemado,San Carlos del Quemado,14,,21.85,-79.7666667
cu,san carlos dos,San Carlos Dos,05,,21.0494444,-78.1066667
cu,san carlos,San Carlos,01,,22.4036111,-83.9336111
cu,san carlos,San Carlos,03,,22.6166667,-81.3
cu,san carlos,San Carlos,05,,21.6605556,-78.2663889
cu,san carlos,San Carlos,09,,20.2,-77.2833333
cu,san carlos,San Carlos,10,,20.1566667,-75.15
cu,san carlos,San Carlos,13,,20.7666667,-77.7333333
cu,san carlos,San Carlos,14,,21.75,-79.3833333
cu,san carlos,San Carlos,15,,20.1333333,-76.1333333
cu,san carlos seis,San Carlos Seis,05,,21.03,-78.1188889
cu,san carlos tres,San Carlos Tres,05,,21.0433333,-78.0952778
cu,san cayetano,San Cayetano,01,,22.7272222,-83.7494444
cu,san cayetano,San Cayetano,03,,22.8666667,-80.9166667
cu,san cayetano,San Cayetano,11,,22.7333333,-82.1166667
cu,san celestino,San Celestino,11,,22.6,-80.8
cu,sanchez astray,Sanchez Astray,09,,20.4833333,-76.7833333
cu,sanchez,Sánchez,10,,20.3788889,-74.9302778
cu,sanchez,Sánchez,12,,20.7363889,-76.3197222
cu,sanchez,Sánchez,16,,22.8,-80.3
cu,san ciprian,San Ciprián,03,,22.4833333,-80.95
cu,san cirilo,San Cirilo,05,,20.8333333,-77.7
cu,san claudio,San Claudio,03,,22.8341667,-81.5969444
cu,san clemente,San Clemente,03,,23.0666667,-81.3833333
cu,san clemente,San Clemente,05,,21.4666667,-78.3
cu,san cristobal,San Cristóbal,01,59582,22.7141667,-83.0480556
cu,san cristobal,San Cristóbal,03,,22.9013889,-81.6105556
cu,san cristobal,San Cristóbal,07,,21.9627778,-78.8522222
cu,san cristobal,San Cristóbal,11,,22.9,-82.55
cu,san cristobal,San Cristóbal,14,,22.3047222,-79.1997222
cu,san cruz,San Cruz,12,,20.7505556,-76.2322222
cu,sancti spiritus,Sancti Spíritus,14,127073,21.9297222,-79.4425
cu,san diego de los banos,San Diego de los Baños,01,1643,22.6466667,-83.3697222
cu,san diego del valle,San Diego del Valle,16,,22.5455556,-80.0961111
cu,san diego de nunez,San Diego de Núñez,01,,22.9041667,-83.0961111
cu,san diego nunes,San Diego Nuñes,01,,22.9041667,-83.0961111
cu,san diego,San Diego,03,,22.9611111,-81.625
cu,san diego,San Diego,05,,21.5333333,-78.2833333
cu,san diego,San Diego,07,,21.6355556,-78.5330556
cu,sandino,Sandino,01,,22.0794444,-84.2055556
cu,san dionisio,San Dionisio,01,,22.7833333,-82.9166667
cu,san dionisio,San Dionisio,16,,22.7833333,-80.5833333
cu,san don eduardo,San Don Eduardo,05,,21.6611111,-78.3591667
cu,san eduardo,San Eduardo,11,,22.9841667,-81.7436111
cu,san emilio,San Emilio,05,,21.5166667,-78.2333333
cu,san emilio,San Emilio,10,,20.1802778,-75.1266667
cu,san enrique,San Enrique,15,,19.9947222,-75.7105556
cu,san esteban,San Esteban,05,,21.2675,-77.2711111
cu,san esteban,San Esteban,07,,21.8675,-78.4558333
cu,san esteban,San Esteban,10,,20.35,-75.25
cu,san esteban,San Esteban,11,,23.0947222,-81.7213889
cu,san eugenio,San Eugenio,11,,22.7833333,-82.55
cu,san federico,San Federico,05,,20.9408333,-77.7261111
cu,san federico,San Federico,16,,22.3,-80.0666667
cu,san felipe,San Felipe,01,,22.5,-83.5833333
cu,san felipe,San Felipe,03,,22.4666667,-80.7333333
cu,san felipe,San Felipe,05,,20.8666667,-77.7666667
cu,san felipe,San Felipe,07,,22.0333333,-78.6666667
cu,san felipe,San Felipe,08,,22.2833333,-80.5833333
cu,san felipe,San Felipe,09,,20.1833333,-76.7833333
cu,san felipe,San Felipe,11,,22.8211111,-82.3111111
cu,san felipe,San Felipe,15,,20.195,-75.8761111
cu,san felipe,San Felipe,16,,22.3,-79.5833333
cu,san fernando de barajagua,San Fernando de Barajagua,15,,20.0994444,-75.7244444
cu,san fernando de camarones,San Fernando de Camarones,08,,22.25,-80.3
cu,san fernando,San Fernando,01,,21.9666667,-79.0166667
cu,san fernando,San Fernando,02,,22.95,-82.4166667
cu,san fernando,San Fernando,05,,20.9666667,-77.85
cu,san fernando,San Fernando,07,,22.1666667,-78.6
cu,san fernando,San Fernando,08,,22.25,-80.3
cu,san fernando,San Fernando,09,,20.35,-77.05
cu,san fernando,San Fernando,14,,21.6630556,-79.4505556
cu,san fernando,San Fernando,15,,20.2005556,-75.9677778
cu,san francisco de cuchillo,San Francisco de Cuchillo,09,,20.0844444,-77.5086111
cu,san francisco de la rosa,San Francisco de la Rosa,07,,22.0569444,-78.9902778
cu,san francisco de las guasimas,San Francisco de las Guásimas,03,,22.6872222,-80.7391667
cu,san francisco de las piedras,San Francisco de las Piedras,04,,21.7833333,-82.8333333
cu,san francisco de los ensenados,San Francisco de los Ensenados,01,,22.1944444,-84.3486111
cu,san francisco de paula,San Francisco de Paula,02,,23.0508333,-82.2755556
cu,san francisco de paula,San Francisco de Paula,03,,22.955,-81.6561111
cu,san francisco de semillero y las guasimas,San Francisco de Semillero y las Guásimas,03,,22.675,-80.7236111
cu,san francisco,San Francisco,01,,22.1363889,-84.05
cu,san francisco,San Francisco,02,,22.9166667,-82.4
cu,san francisco,San Francisco,03,,22.55,-80.95
cu,san francisco,San Francisco,05,,20.7833333,-78.0
cu,san francisco,San Francisco,07,,21.7083333,-79.0316667
cu,san francisco,San Francisco,08,,22.35,-80.25
cu,san francisco,San Francisco,09,,20.2166667,-77.35
cu,san francisco,San Francisco,11,,22.7833333,-82.2333333
cu,san francisco,San Francisco,12,,20.6666667,-76.1833333
cu,san francisco,San Francisco,13,,20.95,-77.2833333
cu,san francisco,San Francisco,15,,20.25,-76.05
cu,san francisco,San Francisco,16,,22.1833333,-80.0
cu,san-fransisko,San-Fransisko,01,,22.1944444,-84.3486111
cu,san-fransisko,San-Fransisko,07,,21.8086111,-78.7747222
cu,san gabriel de correderas,San Gabriel de Correderas,11,,23.1166667,-81.9833333
cu,san gabriel de zayas,San Gabriel de Zayas,11,,22.95,-82.75
cu,san gabriel,San Gabriel,03,,22.6166667,-80.6
cu,san gabriel,San Gabriel,11,,22.9333333,-82.6666667
cu,san galillo,San Galillo,14,,22.05,-79.05
cu,san german,San Germán,12,,20.5991667,-76.1325
cu,san geronimo,San Geronimo,05,,21.1166667,-77.35
cu,san geronimo,San Geronimo,12,,20.8333333,-75.9666667
cu,san geronimo,San Geronimo,14,,22.05,-79.0333333
cu,san gregorio,San Gregorio,01,,22.55,-83.25
cu,san gregorio,San Gregorio,03,,22.5666667,-80.8
cu,san gregorio,San Gregorio,16,,22.2666667,-79.4333333
cu,san guilla,San Guilla,16,,22.8,-80.2833333
cu,sanguily,Sanguily,07,,21.7677778,-78.8919444
cu,san hermenegildo,San Hermenegildo,03,,22.8,-80.7333333
cu,san idelfonso,San Idelfonso,10,,20.1911111,-75.2280556
cu,san idelfonso,San Idelfonso,11,,22.9666667,-82.85
cu,san ignacio,San Ignacio,01,,22.95,-83.1166667
cu,san ignacio,San Ignacio,03,,22.65,-81.1333333
cu,san ignacio,San Ignacio,08,,22.1833333,-80.7833333
cu,san ignacio,San Ignacio,10,,20.1036111,-74.6222222
cu,san ignacio,San Ignacio,11,,22.9363889,-82.4430556
cu,san ildefonso,San Ildefonso,10,,20.1911111,-75.2280556
cu,san inocente,San Inocente,03,,22.5,-80.8166667
cu,san isidro,San Isidro,03,,22.7036111,-80.9338889
cu,san isidro,San Isidro,07,,21.7852778,-78.4861111
cu,san isidro,San Isidro,14,,21.9,-79.4333333
cu,san isidro,San Isidro,16,,22.6908333,-80.3902778
cu,san jacinto,San Jacinto,03,,22.4,-80.85
cu,san jacinto,San Jacinto,05,,20.8166667,-78.1
cu,san jacinto,San Jacinto,11,,22.9333333,-82.1333333
cu,san jacinto,San Jacinto,13,,20.9833333,-77.4666667
cu,san j. e. borro,San J. E. Borro,03,,22.9166667,-80.8833333
cu,san jeronimo de jarahueca,San Jerónimo de Jarahueca,15,,20.35,-75.5833333
cu,san jeronimo,San Jerónimo,05,,21.1166667,-77.35
cu,san jeronimo,San Jerónimo,12,,20.8333333,-75.9666667
cu,san jeronimo,San Jerónimo,14,,22.05,-79.0333333
cu,san jeronimo,San Jerónimo,15,,20.1519444,-75.7333333
cu,san jeronimo,San Jerónimo,16,,22.8166667,-80.6333333
cu,san joaquin de la guira,San Joaquín de la Güira,09,,20.55,-76.8833333
cu,san joaquin,San Joaquín,03,,22.65,-81.3
cu,san joaquin,San Joaquín,05,,21.0333333,-77.75
cu,san joaquin,San Joaquín,07,,21.6816667,-78.3802778
cu,san joaquin,San Joaquín,08,,22.1875,-80.7336111
cu,san joaquin,San Joaquín,09,,20.1,-77.2666667
cu,san joaquin,San Joaquín,13,,20.7830556,-76.9227778
cu,san joaquin,San Joaquín,15,,20.2413889,-75.9383333
cu,san joaquin,San Joaquín,16,,22.3,-80.0166667
cu,san jorge,San Jorge,05,,20.8166667,-77.7666667
cu,san jorge,San Jorge,15,,20.1333333,-76.15
cu,san jose concepcion,San José Concepción,12,,21.0875,-76.3236111
cu,san jose de agramonte,San José de Agramonte,15,,20.2405556,-75.8625
cu,san jose de boquerones,San José de Boquerones,03,,22.6,-80.6
cu,san jose de buenavista,San José de Buenavista,03,,22.9808333,-81.4283333
cu,san jose de izquierdo,San José de Izquierdo,03,,22.9833333,-81.1166667
cu,san jose de la aurora,San José de la Aurora,05,,21.0166667,-77.6666667
cu,san jose de la cruz,San José de la Cruz,03,,22.8666667,-81.4166667
cu,san jose del alamo,San José del Álamo,02,,23.1,-82.2666667
cu,san jose de la plata,San José de la Plata,13,,20.8444444,-76.9752778
cu,san jose de las canas,San José de Las Cañas,14,,21.7833333,-79.8833333
cu,san jose de las lajas,San José de las Lajas,11,54850,22.9613889,-82.1511111
cu,san jose de las nuevas,San José de las Nuevas,14,,22.1775,-79.2205556
cu,san jose del lago,San José del Lago,14,,22.2286111,-79.0716667
cu,san jose de los chivos,San José de los Chivos,03,,22.9083333,-81.1994444
cu,san jose de los mameyes,San José de los Mameyes,03,,22.9711111,-81.2647222
cu,san jose de los ramos,San José de los Ramos,03,,22.8,-80.7666667
cu,san jose del retiro,San José del Retiro,09,,20.3666667,-76.45
cu,san jose de mayoz,San José de Mayoz,03,,22.65,-80.8
cu,san jose de oviedo,San José de Oviedo,11,,23.1,-81.9
cu,san jose de palo quemado,San José de Palo Quemado,05,,21.1333333,-77.45
cu,san jose de soledad,San José de Soledad,03,,22.6811111,-81.0572222
cu,san jose de tumbadero,San José de Tumbadero,03,,22.9922222,-81.4672222
cu,san jose de veitia,San José de Veitia,11,,22.8833333,-82.3166667
cu,san jose de yaquimo,San José de Yáquimo,05,,20.7833333,-77.65
cu,san jose diaz,San José Diaz,11,,23.05,-81.9333333
cu,san jose macuran,San José Macurán,01,,22.7666667,-82.9833333
cu,san jose rico,San José Rico,11,,22.7333333,-82.2
cu,san jose,San José,01,,22.1930556,-84.1522222
cu,san jose,San José,02,,22.9666667,-82.4
cu,san jose,San José,03,,22.6166667,-80.7333333
cu,san jose,San José,05,,20.8,-77.65
cu,san jose,San José,07,,21.8130556,-78.4675
cu,san jose,San José,08,,22.35,-80.7833333
cu,san jose,San José,09,,20.1166667,-77.3
cu,san jose,San José,10,,20.2333333,-75.2666667
cu,san jose,San José,11,,22.7666667,-82.55
cu,san jose,San José,12,,20.6833333,-75.95
cu,san jose,San José,13,,20.8444444,-76.9752778
cu,san jose,San José,14,,21.9333333,-79.4
cu,san jose,San José,15,,20.0391667,-75.7752778
cu,san jose,San José,16,,22.1666667,-80.1166667
cu,san juan bautista de cabanas,San Juan Bautista de Cabañas,11,,22.9333333,-82.9
cu,san juan bautista,San Juan Bautista,01,,22.75,-82.9833333
cu,san juan bautista,San Juan Bautista,03,,22.8833333,-81.4333333
cu,san juan bautista,San Juan Bautista,11,,22.9166667,-82.8
cu,san juan bosco,San Juan Bosco,05,,21.4588889,-78.3230556
cu,san juan de buenavista,San Juan de Buenavista,09,,20.1666667,-76.7833333
cu,san juan de buenavista,San Juan de Buenavista,15,,20.4166667,-76.2333333
cu,san juan de cabezon,San Juan de Cabezón,03,,22.9166667,-81.2333333
cu,san juan de dios,San Juan de Dios,01,,22.9288889,-83.0819444
cu,san juan de dios,San Juan de Dios,05,,20.8333333,-78.1
cu,san juan de dios,San Juan de Dios,13,,20.9,-77.6166667
cu,san juan de dios,San Juan de Dios,16,,22.4333333,-80.2
cu,san juan de la palma,San Juan de la Palma,16,,22.35,-79.7333333
cu,san juan de las puercas,San Juan de las Puercas,12,,20.8694444,-76.0411111
cu,san juan de las yeras,San Juan de las Yeras,16,,22.3336111,-80.1055556
cu,san juan de los pinos,San Juan de los Pinos,02,,23.0905556,-82.3163889
cu,san juan de los remedios,San Juan de los Remedios,16,,22.4947222,-79.5458333
cu,san juan de los yeras,San Juan de los Yeras,16,,22.3336111,-80.1055556
cu,san juan de palma,San Juan de Palma,16,,22.35,-79.7333333
cu,san juan de peraza,San Juan de Peraza,03,,22.8986111,-81.1080556
cu,san juan de rio blanco,San Juan de Río Blanco,01,,22.8,-83.5666667
cu,san juan de sanchez,San Juan de Sánchez,03,,22.6166667,-81.2
cu,san juan de valera,San Juan de Valera,03,,22.8411111,-81.6208333
cu,san juan de wilson,San Juan de Wilson,03,,23.05,-81.35
cu,san juan emelina,San Juan Emelina,11,,22.8,-82.6166667
cu,san juan nepomuceno,San Juan Nepomuceno,03,,22.95,-80.8166667
cu,san juan nepomuceno,San Juan Nepomuceno,05,,21.7041667,-78.2808333
cu,san juan nepomuceno,San Juan Nepomuceno,11,,23.05,-82.1166667
cu,san juan nepopuceno,San Juan Nepopuceno,11,,23.05,-82.1166667
cu,san juan peraza,San Juan Peraza,03,,22.9097222,-81.0958333
cu,san juan,San Juan,01,,22.1333333,-84.0666667
cu,san juan,San Juan,01,,22.1,-84.05
cu,san juan,San Juan,05,,21.1833333,-77.3666667
cu,san juan,San Juan,07,,21.9419444,-78.8383333
cu,san juan,San Juan,08,,21.9233333,-80.2708333
cu,san juan,San Juan,11,,22.8044444,-81.9372222
cu,san juan,San Juan,12,,20.7583333,-76.3561111
cu,san juan,San Juan,13,,21.1141667,-76.45
cu,san juan,San Juan,15,,19.9977778,-75.8777778
cu,san juan,San Juan,16,,22.55,-79.7833333
cu,san juan y martinez,San Juan y Martínez,01,,22.2802778,-83.8383333
cu,san juaquin,San Juaquin,03,,22.9233333,-81.1925
cu,san julian,San Julián,01,,21.9833333,-84.5666667
cu,san julian,San Julián,03,,22.6386111,-80.7977778
cu,san julian,San Julián,11,,22.8880556,-81.8397222
cu,san justo,San Justo,10,,20.1444444,-75.1875
cu,san laureano,San Laureano,01,,22.4166667,-83.95
cu,san lazaro,San Lazaro,16,,22.4,-79.8166667
cu,san leandro,San Leandro,15,,20.1586111,-75.9219444
cu,san lino,San Lino,08,,22.4,-80.55
cu,san lorenzo del mangal,San Lorenzo del Mangal,03,,22.6333333,-80.75
cu,san lorenzo,San Lorenzo,01,,22.35,-83.5
cu,san lorenzo,San Lorenzo,03,,22.9097222,-81.5933333
cu,san lorenzo,San Lorenzo,05,,21.5166667,-78.2166667
cu,san lorenzo,San Lorenzo,09,,20.0166667,-77.0166667
cu,san lorenzo,San Lorenzo,11,,22.8091667,-81.9272222
cu,san lorenzo,San Lorenzo,12,,20.8488889,-76.5941667
cu,san lorenzo,San Lorenzo,15,,20.1666667,-76.2833333
cu,san lorenzo,San Lorenzo,16,,22.4666667,-80.0
cu,san lucas,San Lucas,03,,22.5666667,-81.0833333
cu,san lucas,San Lucas,09,,20.25,-76.95
cu,san lucas,San Lucas,16,,22.5166667,-79.9333333
cu,san luciano,San Luciano,03,,22.7002778,-80.6947222
cu,san luisa,San Luisa,05,,21.6,-78.2
cu,san luis de las deseadas,San Luis de las Deseadas,05,,21.1833333,-77.3666667
cu,san luis del penon,San Luis del Peñón,03,,22.8833333,-80.8833333
cu,san luis de mala fama,San Luis de Mala Fama,05,,21.4666667,-78.4
cu,san luis,San Luis,01,6690,22.2786111,-83.7611111
cu,san luis,San Luis,02,,23.0166667,-82.4166667
cu,san luis,San Luis,03,,22.4833333,-81.0333333
cu,san luis,San Luis,05,,20.9,-77.7833333
cu,san luis,San Luis,08,,22.5,-80.45
cu,san luis,San Luis,10,,20.3058333,-74.4430556
cu,san luis,San Luis,11,,22.7333333,-81.8333333
cu,san luis,San Luis,15,67296,20.0997222,-75.7472222
cu,san luis,San Luis,16,,22.8833333,-80.3166667
cu,san macoy,San Macoy,01,,22.3333333,-83.7333333
cu,san manuel del central san agustin,San Manuel del Central San Agustin,16,,22.35,-79.55
cu,san manuel de villanueva,San Manuel de Villanueva,15,,20.15,-76.1
cu,san manuel,San Manuel,02,,23.1333333,-82.1833333
cu,san manuel,San Manuel,03,,22.55,-81.05
cu,san manuel,San Manuel,05,,21.0,-77.65
cu,san manuel,San Manuel,07,,21.8569444,-79.0183333
cu,san manuel,San Manuel,08,,22.3666667,-80.6166667
cu,san manuel,San Manuel,09,,20.3166667,-76.9
cu,san manuel,San Manuel,10,,20.2127778,-75.3766667
cu,san manuel,San Manuel,13,,21.1363889,-76.6061111
cu,san manuel,San Manuel,16,,22.35,-79.55
cu,san marcelino,San Marcelino,13,,21.0566667,-76.4247222
