r,Nesar,28,,32.81768,50.424258
ir,nesar,Nesar,32,,37.3053,48.5035
ir,nesar owleh,Nesar Owleh,15,,32.6659,48.5791
ir,nesar pa'in,Nesar Pa'in,16,,35.8851,47.1454
ir,nesa rud,Nesa Rud,08,,37.9107,48.7603
ir,nesa sara,Nesa Sara,35,,36.693077,50.973254
ir,nesa-ye `olya,Nesa-ye `Olya,05,,30.506945,51.416461
ir,nesaz,Nesaz,32,,37.3053,48.5035
ir,neseh-ye anjireh,Neseh-ye Anjireh,05,,30.488423,51.420933
ir,nesel,Nesel,16,,35.2954,46.4354
ir,nesel,Nesel,35,,36.007731,52.519346
ir,nesen,Nesen,35,,36.23523,51.499518
ir,nesfeh kar,Nesfeh Kar,13,,34.708,46.2779
ir,nesf-e mian,Nesf-e Mian,07,,29.754374,51.537905
ir,nesf-e rah,Nesf-e Rah,28,,33.8606,51.4601
ir,nesfi,Nesfi,08,,36.845564,49.50272
ir,nesf mian,Nesf Mian,07,,29.800298,51.552433
ir,nesf rah-e qamsar,Nesf Rah-e Qamsar,28,,33.8606,51.4601
ir,neshahr,Neshahr,07,,29.1843,53.8281
ir,neshahr,Neshahr,34,,33.604228,49.916688
ir,neshal,Neshal,35,,36.007731,52.519346
ir,neshanak,Neshanak,04,,27.133333,62.45
ir,neshaneh,Neshaneh,29,,29.198056,57.366667
ir,neshaq,Neshaq,33,,37.6722,47.664
ir,neshareh,Neshareh,15,,31.6915,48.8226
ir,neshareh-ye do,Neshareh-ye Do,15,,31.6915,48.8226
ir,neshareh-ye yek,Neshareh-ye Yek,15,,31.7043,48.828
ir,neshar,Neshar,04,,25.266667,60.866667
ir,neshar,Neshar,09,,34.67725,48.86697
ir,neshatieh,Neshatieh,26,,35.2819,51.5473
ir,neshatieh,Neshatieh,38,,36.2549,50.0457
ir,neshatiyeh,Neshatiyeh,26,,35.2819,51.5473
ir,neshel,Neshel,35,,36.007731,52.519346
ir,neshi,Neshi,37,,37.016667,54.666667
ir,neshkan,Neshkan,16,,35.4968,46.3457
ir,neshkash,Neshkash,16,,35.4968,46.3457
ir,neshlaj,Neshlaj,28,,33.9894,51.0734
ir,neshlandeh,Neshlandeh,33,,37.6799,47.6994
ir,neshta rud,Neshta Rud,35,,36.754167,51.010278
