say,Segizsay,07,,50.416667,53.166667
kz,segiz,Segiz,06,,47.5075,53.274167
kz,segizzhigit,Segizzhigit,14,,44.766667,64.416667
kz,seitenskoye,Seitenskoye,03,,51.010278,72.796944
kz,sekisovka,Sekisovka,15,,50.333333,82.583333
kz,sekisovskoye,Sekisovskoye,15,,50.333333,82.583333
kz,sekoyenorda,Sekoyenorda,15,,47.9,84.9
kz,seksenbayevo,Seksenbayevo,07,,49.781944,48.516111
kz,seksenbay,Seksenbay,13,,53.683333,63.816667
kz,seksen,Seksen,07,,49.166667,51.983333
kz,sekseuil,Sekseuil,14,,47.09,61.151944
kz,selektsionnaya stantsiya,Selektsionnaya Stantsiya,10,,41.466389,69.433611
kz,selekty,Selekty,16,,54.366111,70.335833
kz,seleniye bautino,Seleniye Bautino,09,,44.537778,50.25
kz,selenoje,Selenoje,07,,51.15,50.683333
kz,seletinskoye,Seletinskoye,03,,52.166389,72.737222
kz,selety,Selety,11,,52.708611,73.720278
kz,sel'khozkoloniya,Sel'khozkoloniya,16,,53.133333,69.083333
kz,sembi,Sembi,10,,41.8325,69.701111
kz,semenovka,Semenovka,03,,51.321111,70.758333
kz,semenovka,Semënovka,12,,49.845833,71.878611
kz,semenovka,Semënovka,13,,52.813333,63.906944
kz,semenovka,Semenovka,15,,51.041111,79.091111
kz,semenovskiy,Semenovskiy,03,,51.321111,70.758333
kz,semenovskiy,Semënovskiy,04,,49.933333,57.483333
kz,semenovskiy,Semenovskiy,13,,52.813333,63.906944
kz,semenovskiy,Semenovskiy,15,,51.041111,79.091111
kz,semenovskoye,Semenovskoye,03,,51.321111,70.758333
kz,semenovskoye,Semenovskoye,15,,51.041111,79.091111
kz,semey,Semey,15,292795,50.411111,80.2275
kz,semeytau,Semeytau,15,,50.166667,79.733333
kz,semie bugu,Semie Bugu,12,,50.198889,74.830833
kz,semiglavi mar,Semiglavi Mar,07,,51.194444,50.053889
kz,semiglavy mar,Semiglavy Mar,07,,51.194444,50.053889
kz,semiglavyy mar,Semiglavyy Mar,07,,51.194444,50.053889
kz,semiozerka,Semiozerka,16,,54.634444,66.370556
kz,semiozernoe,Semiozernoe,13,,52.351944,64.144722
kz,semiozernoye,Semiozërnoye,13,,52.351944,64.144722
kz,semiozerny,Semiozerny,13,,52.351944,64.144722
kz,semiozernyy,Semiozernyy,13,,52.351944,64.144722
kz,semipalatinsk-21,Semipalatinsk-21,11,,50.756667,78.54
kz,semipalatinskaya,Semipalatinskaya,11,,51.066667,77.7
kz,semipalatinsk,Semipalatinsk,15,,50.411111,80.2275
kz,semipalatnoye,Semipalatnoye,16,,54.4475,68.649444
kz,semipalatynsk,Semipalatynsk,15,,50.411111,80.2275
kz,semipolka,Semipolka,16,,54.127222,67.281667
kz,semipol'skoye,Semipol'skoye,16,,54.127222,67.281667
kz,semiyarka,Semiyarka,15,,50.893611,78.312778
kz,semiyarskaya,Semiyarskaya,15,,50.893611,78.312778
kz,semiyarskiy,Semiyarskiy,15,,50.893611,78.312778
kz,semiyarskoye,Semiyarskoye,15,,50.893611,78.312778
kz,semiyarsk,Semiyarsk,15,,50.893611,78.312778
kz,semiye-bugu,Semiye-Bugu,12,,50.198889,74.830833
kz,semiz-buga,Semiz-Buga,12,,50.198889,74.830833
kz,semizbughy,Semizbughy,12,,50.198889,74.830833
kz,semiz-bugu,Semiz-Bugu,12,,50.198889,74.830833
kz,semizbugy,Semizbugy,12,,50.198889,74.830833
kz,semiz-kul',Semiz-Kul',01,,45.666667,74.3
kz,semnadtsat' let oktyabrya chetvertyy,Semnadtsat' Let Oktyabrya Chetvertyy,12,,50.033333,71.166667
kz,senek,Senek,09,,43.366667,53.400278
kz,sennoye,Sennoye,15,,49.585556,84.790833
kz,sennoye,Sennoye,16,,54.083056,69.536944
kz,sennoy,Sennoy,06,,46.583333,48.983333
kz,senokosnoye,Senokosnoye,12,,50.1,73.466667
kz,sentash,Sentash,15,,49.316667,82.466667
kz,sentashskiy,Sentashskiy,15,,49.316667,82.466667
kz,sentas,Sentas,15,,48.666667,82.933333
kz,senzharka,Senzharka,16,,54.766667,67.833333
kz,senzharskiy,Senzharskiy,16,,54.766667,67.833333
kz,serafimovka,Serafimovka,16,,52.960833,69.293333
kz,serbay,Serbay,04,,51.033333,57.983333
kz,serebryakovo,Serebryakovo,07,,51.048333,51.235
kz,serebryakov,Serebryakov,07,,51.048333,51.235
kz,serebryanka,Serebryanka,15,,49.6925,83.289167
kz,serebryansk,Serebryansk,15,11478,49.6925,83.289167
kz,seredchikha,Seredchikha,15,,49.509444,85.2475
kz,serentas,Serentas,15,,47.833333,82.533333
kz,sergeevka,Sergeevka,03,,51.654167,68.198333
kz,sergeevka,Sergeevka,16,,53.88,67.415833
kz,sergeli,Sergeli,10,,41.366667,68.75
kz,sergevskiy,Sergevskiy,03,,51.654167,68.198333
kz,sergey-aula,Sergey-Aula,07,,50.31,49.52
kz,sergeyevka,Sergeyevka,01,,43.116667,75.666667
kz,sergeyevka,Sergeyevka,03,,51.654167,68.198333
kz,sergeyevka,Sergeyevka,10,,42.55,69.9
kz,sergeyevka,Sergeyevka,11,,52.533333,78.116667
kz,sergeyevka,Sergeyevka,13,,52.955,63.188611
kz,sergeyevka,Sergeyevka,15,,48.816667,83.8
kz,sergeyevka,Sergeyevka,16,8845,53.88,67.415833
kz,sergeyev,Sergeyev,07,,50.05,51.066667
kz,sergeyevskiy,Sergeyevskiy,03,,51.654167,68.198333
kz,sergeyevskiy,Sergeyevskiy,06,,46.533333,49.083333
kz,sergeyevskiy,Sergeyevskiy,13,,52.955,63.188611
kz,sergino,Sergino,16,,55.244167,69.003889
kz,sergiopol',Sergiopol',15,,47.933333,80.4
kz,sergiyevka,Sergiyevka,04,,49.508889,57.031667
kz,sergiyevka,Sergiyevka,10,,42.55,69.9
kz,sergiyevskiy,Sergiyevskiy,03,,51.654167,68.198333
kz,sergiyevskiy,Sergiyevskiy,04,,49.508889,57.031667
kz,sergiyevskoye,Sergiyevskoye,16,,54.685556,69.895556
kz,sergumak,Sergumak,06,,48.75,51.683333
kz,serik,Serik,07,,49.701111,49.649444
kz,serk,Serk,07,,49.701111,49.649444
kz,serseke,Serseke,15,,50.916667,78.916667
kz,sert,Sert,10,,43.533333,68.25
kz,seslavino,Seslavino,10,,42.45,70.2
kz,setkali,Setkali,07,,48.75,47.666667
kz,sevastopol',Sevastopol',13,,53.1425,65.813056
kz,sevastopol'skiy,Sevastopol'skiy,13,,53.1425,65.813056
kz,severkino,Severkino,07,,50.783333,51.1
kz,severnoe,Severnoe,11,,53.746389,74.965556
kz,severnoye,Severnoye,11,,52.666667,78.4
kz,severnoye,Severnoye,15,,49.816667,83.15
kz,severnoye,Severnoye,16,,53.693889,69.619444
kz,severnoy,Severnoy,12,,47.016667,75
kz,severny,Severny,12,,47.016667,75
kz,severny,Severny,15,,48.65,85.65
kz,severnyy,Severnyy,04,,51.033333,61.583333
kz,severnyy,Severnyy,11,,52.666667,78.4
kz,severnyy,Severnyy,12,,47.016667,75
kz,severnyy,Severnyy,15,,48.65,85.65
kz,sevlyumbay,Sevlyumbay,10,,41.676944,68.820833
kz,sevorkino,Sevorkino,07,,50.783333,51.1
kz,seyfulino,Seyfulino,16,,54.375556,70.500556
kz,seyfullino,Seyfullino,16,,53.534722,69.026667
kz,seyfullin,Seyfullin,16,,53.534722,69.026667
kz,seytagov,Seytagov,07,,50.133333,47.716667
kz,seytaryk,Seytaryk,10,,41.494444,69.14
kz,seyten',Seyten',03,,51.010278,72.796944
kz,seyten',Seyten',11,,51.933333,78.166667
kz,seytenskoye,Seytenskoye,03,,51.010278,72.796944
kz,seyt,Seyt,06,,48.033333,50.916667
kz,shabagan,Shabagan,04,,48.6,60.6
kz,shabankol,Shabanköl,13,,51.939722,63.0675
kz,shabas,Shabas,12,,49.416667,77.216667
kz,shabayevskiy,Shabayevskiy,04,,50.066667,57.133333
kz,shabdarat,Shabdarat,11,,51.816667,76.9
kz,shadyksayevka,Shadyksayevka,13,,54.032222,62.023333
kz,shadyr,Shadyr,07,,49.883333,49.05
kz,shagalakasa,Shagalakasa,06,,46.983333,50.8
kz,shagalaly,Shagalaly,16,,52.461667,67.6375
