obudze,Mats'kobudze,59,,54.5666667,23.1166667
lt,matskovo,Matskovo,59,,54.3333333,23.3
lt,matskuny,Matskuny,57,,54.95,24.3
lt,matskyay,Matskyay,56,,54.5,23.85
lt,matsyanay,Matsyanay,60,,55.3666667,23.9333333
lt,matsyany,Matsyany,60,,55.3666667,23.9333333
lt,matsyutsi,Matsyutsi,65,,54.15,25.65
lt,mattsshtubern,Mattsshtubern,62,,55.2466667,21.8163889
lt,matuizai,Matuizai,56,,54.2833333,24.6833333
lt,matuizos,Matuizos,56,,54.2833333,24.6833333
lt,matujzy,Matujzy,56,,54.2833333,24.6833333
lt,matuliskiai,Matuliskiai,59,,54.65,23.0833333
lt,matushkyay,Matushkyay,57,,55.1,23.4
lt,matuyzay,Matuyzay,56,,54.2833333,24.6833333
lt,matuyzos,Matuyzos,56,,54.2833333,24.6833333
lt,matuza,Matuza,56,,54.2833333,24.6833333
lt,matuzy,Matuzy,56,,54.2833333,24.6833333
lt,matyshki,Matyshki,57,,55.1,23.4
lt,matyshki,Matyshki,62,,55.3333333,22.25
lt,maudziorai,Maudziorai,63,,55.85,22.6333333
lt,mauliai,Mauliai,60,,55.3666667,24.4166667
lt,mauruchay,Mauruchay,57,,54.7833333,23.75
lt,mauruchyay,Mauruchyay,57,,54.7833333,23.75
lt,mauruciai,Mauruciai,57,,54.7833333,23.75
lt,mauruciu,Mauruciu,57,,54.7833333,23.75
lt,mavdzyuray,Mavdzyuray,63,,55.85,22.6333333
lt,maydany,Maydany,65,,54.7,24.8333333
lt,maygay,Maygay,63,,56.2833333,22.4666667
lt,maynevos,Maynevos,60,,56.1,25.4666667
lt,mayronyay,Mayronyay,61,,56.1847222,23.5177778
lt,mayshay,Mayshay,61,,55.8666667,23.1666667
lt,mayshegala,Mayshëgala,65,,54.8666667,25.0666667
lt,mayshlyauken,Mayshlyauken,62,,55.2827778,21.7066667
lt,mazaiciai,Mazaiciai,61,,55.8833333,23.6333333
lt,mazasis palukstis,Mazasis Palukstis,63,,55.7,22.2833333
lt,mazbeikaya,Mazbeikaya,40,,56.0908333,23.1
lt,mazeikiai,Mazeikiai,40,,56.0908333,23.1
lt,mazeikiai,Mazeikiai,60,,55.4,24.7
lt,mazeikiai,Mazeikiai,63,41314,56.3166667,22.3333333
lt,mazeikiskiai,Mazeikiskiai,60,,55.15,24.7
lt,mazeikiu,Mazeikiu,40,,56.0908333,23.1
lt,mazeikiu,Mazeikiu,63,,56.3166667,22.3333333
lt,mazeikoniai,Mazeikoniai,61,,56.0,23.8569444
lt,mazeliai,Mazeliai,60,,55.0333333,24.7166667
lt,mazeliai,Mazeliai,61,,56.2816667,23.3152778
lt,mazeliai,Mazeliai,62,,55.2833333,21.55
lt,mazeli,Mazeli,61,,56.2816667,23.3152778
lt,mazeliu,Mazeliu,60,,55.4666667,24.9333333
lt,mazenai,Mazenai,60,,55.45,26.4
lt,mazeniai,Mazeniai,60,,55.6,24.4833333
lt,mazgaigalis,Mazgaigalis,60,,55.6333333,24.0166667
lt,mazgiai,Mazgiai,60,,55.6333333,24.0166667
lt,mazgolyay,Mazgolyay,60,,55.2230556,23.8327778
lt,mazhany,Mazhany,60,,55.45,26.4
lt,mazhaychay,Mazhaychay,61,,55.9166667,23.45
lt,mazheikyai,Mazheikyai,40,,56.0908333,23.1
lt,mazheli,Mazheli,61,,56.2816667,23.3152778
lt,mazhellen,Mazhellen,62,,55.2833333,21.55
lt,mazhelyay,Mazhelyay,40,,56.0908333,23.1
lt,mazhelyay,Mazhelyay,60,,55.0333333,24.7166667
lt,mazhelyay,Mazhelyay,61,,55.6666667,23.55
lt,mazhenyay,Mazhenyay,61,,56.0902778,23.6902778
lt,mazheyi-mostaychey,Mazheyi-Mostaychey,63,,55.8,21.7
lt,mazheykenay,Mazheykenay,61,,56.0,23.8569444
lt,mazheykishkyay,Mazheykishkyay,60,,55.15,24.7
lt,mazheykonay,Mazheykonay,61,,56.0,23.8569444
lt,mazheykonyay,Mazheykonyay,61,,56.0,23.8569444
lt,mazheyktat,Mazheyktat,40,,56.0908333,23.1
lt,mazheykyay,Mazheykyay,40,,56.0908333,23.1
lt,mazheykyay,Mazheykyay,63,,56.3166667,22.3333333
lt,mazhonay,Mazhonay,62,,55.3197222,22.2977778
lt,mazh-panyamune,Mazh-Panyamune,60,,56.3438889,24.6258333
lt,mazhuchay,Mazhuchay,59,,54.5997222,22.8772222
lt,mazhuchyay,Mazhuchyay,61,,56.2366667,23.9205556
lt,mazhunay,Mazhunay,61,,55.4833333,22.8833333
lt,mazhuntsy,Mazhuntsy,56,,54.5166667,24.25
lt,mazhurmaten,Mazhurmaten,62,,55.1333333,22.1333333
lt,mazhyalyay,Mazhyalyay,61,,56.2816667,23.3152778
lt,mazhyavos,Mazhyavos,63,,55.8833333,21.6666667
lt,maziavos,Maziavos,63,,55.8833333,21.6666667
lt,maziavu,Maziavu,63,,55.8833333,21.6666667
lt,mazieji bausiai,Mazieji Bausiai,65,,54.3166667,25.4166667
lt,mazieji ibenai,Mazieji Ibenai,57,,55.05,23.95
lt,mazieji lapiai,Mazieji Lapiai,57,,54.9666667,24.0166667
lt,mazieji mostaiciai,Mazieji Mostaiciai,63,,55.8,21.7
lt,mazieji sarke,Mazieji Sarke,63,,56.2666667,21.6666667
lt,mazieji selviai,Mazieji Selviai,59,,54.7166667,23.05
lt,maziejl burbiskiai,Maziejl Burbiskiai,63,,55.7166667,22.4666667
lt,mazintai,Mazintai,62,,55.3666667,22.55
lt,mazioniai,Mazioniai,61,,56.0902778,23.6902778
lt,maziunai,Maziunai,56,,54.5166667,24.25
lt,maziunu,Maziunu,56,,54.5166667,24.25
lt,mazoji palukne,Mazoji Palukne,63,,56.2333333,21.45
lt,mazoji panemune,Mazoji Panemune,60,,56.3438889,24.6258333
lt,mazonai,Mazonai,62,,55.3197222,22.2977778
lt,mazoniai,Mazoniai,62,,55.3197222,22.2977778
lt,mazonu,Mazonu,62,,55.3197222,22.2977778
lt,mazuciai,Mazuciai,59,,54.5997222,22.8772222
lt,mazuciai,Mazuciai,61,,55.4833333,22.8833333
lt,mazuciu,Mazuciu,59,,54.5997222,22.8772222
lt,mazuliai,Mazuliai,61,,55.75,23.8166667
lt,mazunai,Mazunai,61,,55.6166667,22.8833333
lt,mazuoliai,Mazuoliai,61,,55.6666667,23.55
lt,mazurishki,Mazurishki,57,,54.7166667,23.7666667
lt,mazurishki,Mazurishki,59,,55.0333333,22.9666667
lt,mazurmaciai,Mazurmaciai,62,,55.1333333,22.1333333
lt,mecionys,Mecionys,60,,55.2666667,26.5
lt,meciunai,Meciunai,56,,54.0833333,23.6666667
lt,meciunu,Meciunu,56,,54.0833333,23.6666667
lt,medales,Medales,58,,55.4330556,21.4716667
lt,medeikiai,Medeikiai,60,,56.2736111,24.8230556
lt,medeiki,Medeiki,60,,56.2736111,24.8230556
lt,medeikiu,Medeikiu,60,,56.2736111,24.8230556
