ro,Rancho El Socorro,10,,24.516667,-103.916667
mx,rancho el socorro,Rancho El Socorro,26,,29.033333,-110.333333
mx,rancho el sombretillo,Rancho El Sombretillo,06,,27.666667,-106.283333
mx,rancho el suspiro,Rancho El Suspiro,10,,24.383333,-106.544167
mx,rancho el tacuache,Rancho El Tacuache,26,,26.846944,-108.824167
mx,rancho el tamborazo,Rancho El Tamborazo,10,,26.6,-104.083333
mx,rancho el tambor,Rancho El Tambor,25,,24.151111,-106.504444
mx,rancho el tamez,Rancho El Tamez,19,,25.233333,-99.966667
mx,rancho el tanque del conejo,Rancho El Tanque del Conejo,32,,24.3,-102.616667
mx,rancho el tanque,Rancho El Tanque,07,,28.716667,-101.2
mx,rancho el tanque,Rancho El Tanque,28,,24.016667,-98.116667
mx,rancho el tapiro,Rancho El Tapiro,26,,31.133333,-110.316667
mx,rancho el taray,Rancho El Taray,19,,24.583056,-99.9625
mx,rancho el tascate,Rancho El Tascate,06,,27.316667,-108.016667
mx,rancho el tecolote,Rancho El Tecolote,07,,27.25,-101.4
mx,rancho el tecolote,Rancho El Tecolote,26,,28.7,-109.466667
mx,rancho el tecolote,Rancho El Tecolote,28,,27.166667,-99.433333
mx,rancho el tecomote,Rancho El Tecomote,19,,26.05,-99.15
mx,rancho el tecuan,Rancho El Tecuán,06,,27.633333,-105.216667
mx,rancho el tejocote,Rancho El Tejocote,19,,25.316667,-100.25
mx,rancho el telote,Rancho El Telote,10,,24.666667,-103.933333
mx,rancho el tepevac,Rancho El Tepevac,26,,29.033333,-111.083333
mx,rancho el tepeyac,Rancho El Tepeyac,10,,26.583333,-104.05
mx,rancho el tepozan,Rancho el Tepozán,10,,26.7,-105.916667
mx,rancho el terrenate,Rancho El Terrenate,26,,31.2,-110.4
mx,rancho el terrero,Rancho El Terrero,06,,27.183333,-105.666667
mx,rancho el terrero,Rancho El Terrero,10,,26.1,-105.566667
mx,rancho el terrero,Rancho El Terrero,19,,25.2,-100
mx,rancho el tescate,Rancho El Téscate,06,,26.416667,-106.366667
mx,rancho el tesoro,Rancho El Tesoro,06,,27.383333,-104.866667
mx,rancho el tesota,Rancho El Tesota,26,,31.093889,-111.935
mx,rancho el tigre,Rancho El Tigre,19,,24.078611,-99.967222
mx,rancho el tinajas,Rancho El Tinajas,07,,28.7,-100.6
mx,rancho el tobare,Rancho El Tobare,26,,26.966667,-109.816667
mx,rancho el tochi,Rancho El Tochi,10,,26.5,-105.466667
mx,rancho el tojungo,Rancho El Tojungo,26,,28.783333,-111.233333
mx,rancho el tonuco,Rancho El Tonuco,26,,29.133333,-111.416667
mx,rancho el topo,Rancho El Topo,02,,32.238056,-115.978611
mx,rancho el tordillo,Rancho El Tordillo,07,,26.45,-102.933333
mx,rancho el tordillo,Rancho El Tordillo,26,,29.733333,-109.516667
mx,rancho el toro,Rancho El Toro,26,,30.583333,-111.25
mx,rancho el toro,Rancho El Toro,28,,24.183333,-98.55
mx,rancho el torreon,Rancho El Torreón,06,,27.133333,-105.8
mx,rancho el torreon,Rancho El Torreón,26,,30.45,-110.7
mx,rancho el tortillero,Rancho El Tortillero,19,,25.3,-99.533333
mx,rancho el tortugo,Rancho El Tortugo,26,,28.983333,-111.483333
mx,rancho el tren,Rancho El Tren,26,,31.249722,-112.258333
mx,rancho el triangulo,Rancho El Triangulo,28,,24.233333,-99.183333
mx,rancho el trigo,Rancho El Trigo,26,,27.516667,-109.1
mx,rancho el triguito,Rancho El Triguito,06,,26.183333,-107.033333
mx,rancho el troncon,Rancho El Troncón,25,,25.666667,-107.833333
mx,rancho el trueno,Rancho El Trueno,19,,27.233333,-100.466667
mx,rancho el tule,Rancho El Tule,02,,31.9,-116.483333
mx,rancho el tule,Rancho El Tule,07,,28.466667,-101.45
mx,rancho el tule,Rancho El Tule,26,,29.9,-109.366667
mx,rancho el tulillo,Rancho El Tulillo,07,,25.65,-101.416667
mx,rancho el tunal,Rancho El Tunal,19,,24.7,-100.083333
mx,rancho el turarillo,Rancho El Turarillo,25,,25.383333,-107.316667
mx,rancho el uno,Rancho El Uno,06,,30.133333,-106.2
mx,rancho el vaciero,Rancho El Vaciero,07,,27.666667,-102.533333
mx,rancho el vacilon,Rancho El Vacilón,25,,26.15,-109
mx,rancho el vado,Rancho El Vado,25,,26.401389,-108.66
mx,rancho el vainoro,Rancho El Vainoro,25,,26.216667,-108.9125
mx,rancho el valiente,Rancho El Valiente,26,,28.016667,-110.95
mx,rancho el vallecillo,Rancho El Vallecillo,06,,27.25,-106.05
mx,rancho el valle,Rancho El Valle,06,,31.316667,-108.816667
mx,rancho el vaquero,Rancho El Vaquero,19,,25.083333,-99.85
mx,rancho el vaquero,Rancho El Vaquero,26,,27.933333,-110.7
mx,rancho el varal,Rancho El Varal,10,,24.140556,-105.355833
mx,rancho el veliz,Rancho El Veliz,07,,28.066667,-101.1
mx,rancho el venado,Rancho El Venado,06,,28.05,-108.483333
mx,rancho el venado,Rancho El Venado,07,,28.933333,-101.033333
mx,rancho el veracruzano,Rancho El Veracruzano,10,,26.65,-104.216667
mx,rancho el vergel,Rancho El Vergel,07,,24.833333,-101.083333
mx,rancho el viborero,Rancho El Viborero,06,,30.683333,-106.483333
mx,rancho el viento libre,Rancho El Viento Libre,28,,25.616667,-97.45
mx,rancho el villa,Rancho El Villa,26,,28.933333,-110.816667
mx,rancho el violin,Rancho El Violín,19,,26.616667,-99.55
mx,rancho el volador,Rancho El Volador,26,,27.733333,-109.633333
mx,rancho el yeso,Rancho El Yeso,26,,29.233333,-110.516667
mx,rancho el zacatal,Rancho El Zacatal,19,,25.016667,-100.7
mx,rancho el zacatal,Rancho El Zacatal,28,,24.75,-98.266667
mx,rancho el zacate,Rancho El Zacate,19,,25.966667,-99.083333
mx,rancho el zapatero,Rancho El Zapatero,19,,26.483333,-100.95
mx,rancho el zapotal,Rancho El Zapotal,28,,24.6,-98.983333
mx,rancho el zapote,Rancho El Zapote,18,,22.433333,-105.358333
mx,rancho el zoco,Rancho El Zoco,06,,29.683333,-106.266667
mx,rancho el zorrillo,Rancho El Zorrillo,06,,29.133333,-108.166667
mx,rancho el zorrillo,Rancho El Zorrillo,07,,27.566667,-101.816667
mx,rancho el zorrillo,Rancho El Zorrillo,26,,28.266667,-110.033333
mx,rancho emigdio acosta,Rancho Emigdio Acosta,06,,28.05,-105.166667
mx,rancho encina,Rancho Encina,19,,26.625,-100.218611
mx,rancho encino,Rancho Encino,06,,28.383333,-105.933333
mx,rancho en medio,Rancho En Medio,06,,26.766667,-105.55
mx,rancho en medio,Rancho En Medio,10,,26.633333,-105.85
mx,rancho ensenada,Rancho Ensenada,19,,25.15,-100.55
mx,rancho escalerilas,Rancho Escalerilas,28,,27.466667,-99.8
mx,rancho escamillas,Rancho Escamillas,10,,24.565833,-105.244167
mx,rancho escondida,Rancho Escondida,07,,27.666667,-101.433333
