uk,Bitapukpuk,10,,-4.4,152.1666667
pg,bitara,Bitara,11,,-4.3666667,142.4333333
pg,bitarebarebe,Bitarebarebe,10,,-4.35,152.2333333
pg,bitebe,Bitebe,09,,-6.3333333,145.6833333
pg,bitibum,Bitibum,14,,-6.7166667,147.0166667
pg,bitoi,Bitoi,14,,-7.25,147.1333333
pg,bitokara,Bitokara,17,,-5.3,150.0333333
pg,bitokara mission,Bitokara Mission,17,,-5.3,150.0333333
pg,bitro,Bitro,18,,-3.9166667,141.3666667
pg,biu,Biu,12,,-4.75,145.9333333
pg,biuingen,Biuingen,14,,-6.15,147.5666667
pg,bium,Bium,12,,-5.7666667,145.2833333
pg,biungen,Biungen,14,,-6.15,147.5666667
pg,bivaro,Bivaro,02,,-7.7833333,145.25
pg,biwa,Biwa,03,,-10.25,150.8
pg,biwar,Biwar,11,,-4.4166667,143.8666667
pg,biwat,Biwat,11,,-4.4,143.8666667
pg,bizigi,Bizigi,06,,-8.9166667,142.5
pg,black cat,Black Cat,14,,-7.2833333,146.8166667
pg,blaga,Blaga,18,,-3.85,142.5166667
pg,blaga camp,Blaga Camp,18,,-3.85,142.5166667
pg,blebil,Blebil,06,,-5.2,141.3166667
pg,boagis,Boagis,03,,-9.0666667,152.4666667
pg,boana,Boana,14,,-6.4333333,146.8166667
pg,boanan,Boanan,11,,-3.95,144.2166667
pg,bobadu,Bobadu,14,,-7.0666667,146.8333333
pg,bobaten,Bobaten,11,,-4.35,143.9333333
pg,bobmagum,Bobmagum,11,,-3.7166667,143.0166667
pg,bo,Bo,03,,-10.3166667,150.7166667
pg,bo,Bo,15,,-3.6666667,152.3833333
pg,bobogoro,Bobogoro,01,,-9.7333333,147.9333333
pg,boboni,Boboni,03,,-9.6666667,149.8333333
pg,bobsie,Bobsie,15,,-2.6166667,150.85
pg,bobtain,Bobtain,11,,-4.3666667,144.2
pg,bobten,Bobten,11,,-4.3666667,144.2
pg,boda,Boda,01,,-9.45,147.45
pg,bodela,Bodela,03,,-8.7,151.0833333
pg,bodinhafen,Bodinhafen,18,,-3.1333333,142.35
pg,bodinumu,Bodinumu,01,,-9.1102778,147.6675
pg,bodoimi,Bodoimi,04,,-9.1166667,148.2833333
pg,bodoka,Bodoka,01,,-9.7,147.9666667
pg,bodua,Bodua,12,,-4.1166667,145.0166667
pg,boera,Boera,01,,-9.4,147.0166667
pg,boete,Boete,06,,-8.6333333,141.9666667
pg,bofu,Bofu,01,,-8.5666667,147.5666667
pg,bofu,Bofu,04,,-8.9166667,148.2833333
pg,boga bank,Boga Bank,06,,-6.65,142.1
pg,bogabuang,Bogabuang,14,,-6.3166667,146.35
pg,bogadjim,Bogadjim,12,,-5.4333333,145.7333333
pg,bogadyim,Bogadyim,12,,-5.4333333,145.7333333
pg,bogala baubau,Bogala Baubau,03,,-10.3333333,150.35
pg,bogala,Bogala,03,,-10.65,150.9166667
pg,bogameta villages,Bogameta Villages,11,,-3.4166667,143.3666667
pg,boganon,Boganon,12,,-5.8,145.8166667
pg,bogaramaka,Bogaramaka,01,,-9.8166667,147.95
pg,bogasip,Bogasip,18,,-3.5833333,142.2333333
pg,bogasu,Bogasu,14,,-7.1166667,146.95
pg,bogeba,Bogeba,14,,-6.35,146.5333333
pg,bogia,Bogia,12,,-4.2666667,144.9666667
pg,bogibogo,Bogibogo,07,,-6.5833333,155.6833333
pg,bogilabaubua,Bogilabaubua,03,,-10.3333333,150.3666667
pg,bogisago,Bogisago,07,,-6.5833333,155.6833333
pg,bogolis,Bogolis,15,,-3.4166667,152.15
pg,bogut,Bogut,18,,-4.85,141.1833333
pg,bohi,Bohi,02,,-7.35,143.6833333
pg,bohuai 1,Bohuai 1,13,,-2.2,146.95
pg,bohuai 2,Bohuai 2,13,,-2.2,146.95
pg,bohuai number 1,Bohuai Number 1,13,,-2.2,146.95
pg,bohuai number 2,Bohuai Number 2,13,,-2.2,146.95
pg,boibienggauwa,Boibienggauwa,08,,-6.1833333,144.9666667
pg,boieta,Boieta,06,,-8.7166667,142.0833333
pg,boif,Boif,15,,-2.7666667,151.1333333
pg,boig,Boig,11,,-3.85,144.05
pg,boi'ia,Boi'ia,05,,-6.1333333,143.4166667
pg,boikamava,Boikamava,06,,-7.3833333,141.4166667
pg,boiken,Boiken,11,,-3.4166667,143.45
pg,boikin,Boikin,11,,-3.4166667,143.45
pg,boikmava,Boikmava,06,,-7.3833333,141.4166667
pg,boiku,Boiku,08,,-6.0833333,145.1166667
pg,boikumava,Boikumava,06,,-7.3833333,141.4166667
pg,boi'la,Boi'la,05,,-6.1333333,143.4166667
pg,boilavi,Boilavi,03,,-10.35,149.9666667
pg,boim 1,Boim 1,11,,-3.7,143.2666667
pg,boim 2,Boim 2,11,,-3.7,143.25
pg,boimbalavu,Boimbalavu,06,,-6.8166667,141.4666667
pg,boimbi,Boimbi,12,,-5.5666667,145.7833333
pg,boimboilavu,Boimboilavu,06,,-6.8166667,141.4666667
pg,boim,Boim,11,,-3.7,143.25
pg,boinamu,Boinamu,11,,-3.55,143.2
pg,boine,Boine,01,,-8.9,147.4
pg,boini,Boini,18,,-3.5166667,142.4166667
pg,boira,Boira,07,,-6.1833333,155.4166667
pg,boisi,Boisi,14,,-7.15,147.05
pg,boitalu,Boitalu,03,,-8.5166667,151.05
pg,boiti,Boiti,06,,-8.6333333,141.9666667
pg,boitoi,Boitoi,03,,-10.4833333,150.3333333
pg,boitou,Boitou,01,,-8.7333333,146.6166667
pg,boiwah,Boiwah,06,,-7.6166667,143.2333333
pg,bokapap,Bokapap,16,,-5.4833333,144.5833333
pg,bokasu,Bokasu,14,,-6.5833333,147.6166667
pg,bok,Bok,06,,-8.55,142.4666667
pg,bok,Bok,12,,-5.4,147.2
pg,boke,Boke,04,,-8.05,147.8
pg,bokongtata,Bokongtata,10,,-5.5333333,151.85
pg,boku,Boku,01,,-9.7166667,147.75
pg,boku,Boku,07,,-6.5666667,155.35
pg,bokukomana,Bokukomana,01,,-9.6833333,147.8666667
pg,bokuku,Bokuku,01,,-9.9833333,148.1333333
pg,boku mission,Boku Mission,01,,-9.7166667,147.75
pg,boku police post,Boku Police Post,07,,-6.5666667,155.35
pg,bokure,Bokure,12,,-4.05,145.0666667
pg,bola,Bola,17,,-5.3333333,150.05
pg,bolakomana,Bolakomana,01,,-9.7333333,147.8833333
pg,bol,Bol,15,,-2.9833333,151.5333333
pg,bolburo,Bolburo,06,,-8.6833333,141.2666667
pg,bolgau'um,Bolgau'um,08,,-6.2166667,144.9833333
pg,bolimang,Bolimang,14,,-6.1333333,147.0333333
pg,bolim,Bolim,06,,-5.2833333,141.45
pg,bolingbongen,Bolingbongen,14,,-6.4666667,147.7
pg,boliu,Boliu,15,,-1.55,149.6833333
pg,boliu mission,Boliu Mission,15,,-1.55,149.6833333
pg,bolivip,Bolivip,06,,-5.3333333,141.6
pg,bolo,Bolo,17,,-5.6166667,149.1333333
pg,bolongtata,Bolongtata,10,,-5.5333333,151.85
pg,bolowip,Bolowip,06,,-5.3333333,141.6
pg,bolpua,Bolpua,15,,-2.6166667,150.3833333
pg,bolubolu,Bolubolu,03,,-9.3666667,150.35
pg,bolvil,Bolvil,06,,-5.3333333,141.6
pg,bomana,Bomana,20,,-9.3877778,147.2477778
pg,bomasa,Bomasa,12,,-5.0333333,145.8
pg,bomasea,Bomasea,03,,-9.2,152.9166667
pg,bombita,Bombita,11,,-3.6333333,142.8666667
pg,bom,Bom,12,,-5.4333333,145.7333333
pg,bom,Bom,15,,-3.7666667,152.4166667
pg,bome,Bome,01,,-8.2,146.9333333
pg,bomegoro,Bomegoro,01,,-9.7,147.9666667
pg,bomeo,Bomeo,10,,-5.5166667,151.5166667
pg,bomguina,Bomguina,01,,-10.1166667,148.45
pg,bomua,Bomua,01,,-10.1,149.4
pg,bona,Bona,05,,-6.4333333,142.7833333
pg,bonagai,Bonagai,03,,-9.1,152.7
pg,bonahoi,Bonahoi,11,,-3.6166667,142.85
pg,bonahoitam,Bonahoitam,11,,-3.6166667,143.2
pg,bonahoitum,Bonahoitum,11,,-3.6166667,143.2
pg,bonam,Bonam,11,,-3.95,144.2166667
pg,bonanamo,Bonanamo,01,,-9.9666667,147.6
pg,bonan,Bonan,11,,-3.95,144.2166667
pg,bonando,Bonando,04,,-9.4166667,149.1333333
pg,bonaputa,Bonaputa,12,,-4.35,145.05
pg,bonarava,Bonarava,03,,-10.2166667,150.4333333
pg,bonarua,Bonarua,03,,-10.75,150.3833333
pg,boneia,Boneia,14,,-5.9333333,146.85
pg,bonei,Bonei,08,,-6.3833333,145.2
pg,bonenau,Bonenau,03,,-9.8833333,149.4
pg,bonenep,Bonenep,03,,-9.95,149.6
pg,bonenepi,Bonenepi,03,,-9.95,149.6
pg,bonga,Bonga,12,,-5.7666667,146.6666667
pg,bonga,Bonga,14,,-6.4333333,147.85
pg,bonga,Bonga,16,,-5.9833333,144.1333333
pg,bongabun,Bongabun,06,,-5.35,141.25
pg,bongganko,Bongganko,14,,-6.4666667,147.5666667
pg,bonggi,Bonggi,14,,-6.0166667,147.0333333
pg,bonggogu,Bonggogu,08,,-6.0333333,145.0
pg,bongimasi,Bongimasi,11,,-3.8,142.65
pg,bongiora,Bongiora,11,,-3.6166667,143.0333333
pg,bongmabil,Bongmabil,18,,-4.8833333,141.15
pg,bongoi,Bongoi,11,,-3.8,142.65
pg,bongoimasi,Bongoimasi,11,,-3.8,142.65
pg,bongois,Bongois,11,,-4.1666667,142.7666667
pg,bongor,Bongor,11,,-3.7333333,142.6666667
pg,bongos,Bongos,11,,-3.7333333,142.6666667
pg,bongu,Bongu,12,,-5.4833333,145.8166667
pg,bongugl,Bongugl,08,,-5.9,145.05
pg,boniao,Boniao,03,,-10.6166667,152.5666667
pg,bonivat,Bonivat,03,,-9.1166667,152.75
pg,bonkembil,Bonkembil,18,,-4.8,141.0333333
pg,bonkiman,Bonkiman,14,,-5.9,146.6666667
pg,bonnanamo,Bonnanamo,01,,-9.9666667,147.6
pg,bonnanano,Bonnanano,01,,-9.9666667,147.6
pg,bononi,Bononi,12,,-5.7666667,145.1833333
pg,bonta,Bonta,09,,-6.3833333,145.8166667
pg,bonua,Bonua,01,,-1.0833333,149.15
pg,bopa,Bopa,09,,-6.3333333,145.3166667
pg,bopinapi,Bopinapi,09,,-6.3333333,145.8
pg,bopirumpu,Bopirumpu,12,,-5.9833333,145.9666667
pg,bopirumpum,Bopirumpum,12,,-5.9833333,145.9666667
pg,bopirumpun,Bopirumpun,12,,-5.9833333,145.9666667
pg,borabi,Borabi,02,,-7.9666667,143.8833333
pg,bora,Bora,02,,-7.9333333,143.9333333
pg,borakagere,Borakagere,01,,-9.7833333,147.7166667
pg,borakapu,Borakapu,01,,-9.8666667,147.7666667
pg,boram,Boram,11,,-3.5833333,143.6666667
pg,boram,Boram,12,,-4.7666667,146.2333333
pg,boraragere,Boraragere,01,,-9.7833333,147.7166667
pg,borbuga,Borbuga,06,,-8.9333333,143.1833333
pg,borda,Borda,12,,-4.05,145.0166667
pg,boreara,Boreara,04,,-9.0166667,148.4666667
pg,borebada,Borebada,01,,-9.4188889,147.0433333
pg,boreberi,Boreberi,01,,-9.5166667,147.5833333
pg,borebo,Borebo,01,,-10.3333333,149.45
pg,bore,Bore,01,,-9.8833333,147.7666667
pg,bore,Bore,08,,-6.0666667,144.8333333
pg,borebu,Borebu,01,,-10.3333333,149.45
pg,boregaina,Boregaina,01,,-9.765,147.7444444
pg,boreo,Boreo,04,,-8.7166667,148.45
pg,boria,Boria,06,,-7.8666667,143.7833333
pg,bori bori,Bori Bori,01,,-8.5666667,147.2833333
pg,boridi,Boridi,01,,-9.0833333,147.6333333
pg,borikiba,Borikiba,08,,-6.15,144.85
pg,borio,Borio,04,,-8.8,148.4
pg,borisubi,Borisubi,06,,-6.2,142.2333333
pg,boriva,Boriva,12,,-4.1,144.6833333
pg,borku,Borku,07,,-6.5666667,155.35
pg,borkwa,Borkwa,12,,-5.3666667,145.4666667
pg,bornbilr,Bornbilr,18,,-5.1,141.55
pg,boroai,Boroai,03,,-10.4,150.0666667
pg,boro,Boro,04,,-8.7166667,148.45
pg,boro,Boro,12,,-4.1,144.75
pg,boroi 1,Boroi 1,12,,-4.1,144.75
pg,boroi,Boroi,12,,-4.1,144.75
pg,boroke,Boroke,14,,-6.15,147.1166667
pg,boroko,Boroko,20,,-9.4666667,147.2
pg,boroman,Boroman,12,,-4.7166667,145.9333333
pg,borona,Borona,05,,-6.4333333,144.1333333
pg,borou,Borou,04,,-8.7166667,148.45
pg,borovia,Borovia,03,,-9.7,149.45
pg,borowai,Borowai,17,,-5.8833333,148.8666667
pg,borraberi,Borraberi,01,,-9.5166667,147.5833333
pg,borsi,Borsi,06,,-8.9166667,143.2166667
pg,boru,Boru,01,,-10.2333333,148.8333333
pg,boru,Boru,04,,-8.4666667,148.9666667
pg,borugasusu,Borugasusu,04,,-8.6166667,147.9166667
pg,boruman,Boruman,12,,-4.7166667,145.9333333
pg,borvei plantation,Borvei Plantation,07,,-6.05,155.4
pg,borvi,Borvi,07,,-6.05,155.4
pg,bosabi,Bosabi,06,,-6.2666667,142.4166667
pg,bosabura,Bosabura,05,,-6.7333333,144.0166667
pg,bosadidi,Bosadidi,03,,-10.4833333,150.3166667
pg,bosasip,Bosasip,18,,-3.5833333,142.2333333
pg,boset,Boset,06,,-7.2333333,141.0833333
