ngchiang,Lungchiang,04,,23.3997222,120.1744444
tw,lungchiao,Lungchiao,04,,23.3858333,120.2069444
tw,lungchiaotan,Lungchiaotan,04,,23.3858333,120.2069444
tw,lungchiaotsun,Lungchiaotsun,04,,23.3858333,120.2069444
tw,lungchien,Lungchien,04,,24.0,121.4166667
tw,lungchi,Lungchi,04,,22.965,120.3602778
tw,lungching,Lungching,04,,23.9166667,120.6
tw,lungchingtsun,Lungchingtsun,04,,23.9166667,120.6
tw,lungchin,Lungchin,04,,24.2,120.5166667
tw,lungchintsun,Lungchintsun,04,,24.2,120.5166667
tw,lungchuang,LungChuang,04,,22.95,120.4166667
tw,lungchuanli,Lungchüanli,04,,21.9841667,120.73
tw,lungchuan,Lungchüan,04,,21.9841667,120.73
tw,lungchuanshe,Lungchüanshe,04,,23.15,121.1833333
tw,lungchuanshui,Lungchüanshui,04,,21.9841667,120.73
tw,lungchuantsun,Lungchüantsun,04,,22.6697222,120.5997222
tw,lungchuanwo,Lungchuanwo,04,,22.95,120.4166667
tw,lungchueh,Lungchüeh,04,,22.8833333,120.5666667
tw,lunghsihsin,Lunghsihsin,04,,24.4833333,120.7666667
tw,lunghsi,Lunghsi,04,,24.1166667,120.6166667
tw,lunghsing,Lunghsing,04,,24.45,120.7333333
tw,lunghsitsun,Lunghsitsun,04,,24.1833333,120.5166667
tw,lunghuali,Lunghuali,04,,22.6333333,120.4833333
tw,lunghua,Lunghua,04,,22.6333333,120.4833333
tw,lungkangli,Lungkangli,04,,22.9613889,120.1705556
tw,lungkang,Lungkang,04,,22.9613889,120.1705556
tw,lungkangtsun,Lungkangtsun,04,,23.4833333,120.1666667
tw,lungkanli,Lungkanli,04,,22.9613889,120.1705556
tw,lungkoukeng,Lungkoukeng,04,,25.0833333,121.4
tw,lungkou,Lungkou,01,,24.4611111,118.3547222
tw,lungkuan,Lungkuan,04,,22.8833333,120.5666667
tw,lungkuomo,Lungkuomo,04,,22.8833333,121.0833333
tw,lunglung,Lunglung,04,,25.0166667,121.95
tw,lungmenkou,Lungmenkou,04,,24.6333333,121.0
tw,lungmen,Lungmen,04,,22.0166667,121.5833333
tw,lungmentsun,Lungmentsun,04,,23.4166667,120.5
tw,lungmuching,Lungmuching,04,,22.6833333,120.4
tw,lungmu,Lungmu,04,,22.6833333,120.4
tw,lungmutsun,Lungmutsun,04,,22.6833333,120.4
tw,lungpeili,Lungpeili,02,,22.6608333,120.2755556
tw,lungpei,Lungpei,02,,22.6608333,120.2755556
