s,Buena Vista Shores,MA,,41.8097222,-70.9555556
us,buffington corner,Buffington Corner,MA,,41.7847222,-71.0319444
us,buffumville,Buffumville,MA,,42.1188889,-71.9000000
us,bullardville,Bullardville,MA,,42.6980556,-72.0852778
us,burkinshaws factory,Burkinshaws Factory,MA,,42.6680556,-71.6125000
us,burkville,Burkville,MA,,42.5063889,-72.7125000
us,burleys corner,Burleys Corner,MA,,42.5772222,-70.9902778
us,burlington,Burlington,MA,22739,42.5047222,-71.1961111
us,burncoat,Burncoat,MA,,42.3097222,-71.7861111
us,burrage,Burrage,MA,,42.0291667,-70.8561111
us,burrage corner,Burrage Corner,MA,,42.5208333,-72.2250000
us,burtts crossing,Burtts Crossing,MA,,42.6030556,-71.1916667
us,butlerville,Butlerville,MA,,42.1527778,-72.4041667
us,buzzards bay,Buzzards Bay,MA,,41.7452778,-70.6186111
us,byfield,Byfield,MA,,42.7597222,-70.9486111
us,cadys corners,Cadys Corners,MA,,42.1680556,-72.5055556
us,cahoon hollow,Cahoon Hollow,MA,,41.9444444,-69.9861111
us,cambridge,Cambridge,MA,101382,42.3750000,-71.1061111
us,cambridgeport,Cambridgeport,MA,,42.3605556,-71.1072222
us,camp ashmere,Camp Ashmere,MA,,42.4441667,-73.0791667
us,camp avoda,Camp Avoda,MA,,41.8661111,-70.8641667
us,camp barton,Camp Barton,MA,,42.1541667,-71.8958333
us,camp becket,Camp Becket,MA,,42.2916667,-73.0791667
us,camp bement,Camp Bement,MA,,42.1805556,-71.9650000
us,camp berkshire,Camp Berkshire,MA,,42.0313889,-72.7611111
us,camp bob white,Camp Bob White,MA,,42.2263889,-71.4688889
us,camp breezy meadow,Camp Breezy Meadow,MA,,42.1738889,-71.4436111
us,camp burgess,Camp Burgess,MA,,41.6977778,-70.4555556
us,camp cabot,Camp Cabot,MA,,42.4000000,-71.2325000
us,camp caravan,Camp Caravan,MA,,42.6427778,-72.1547222
us,camp chacalot,Camp Chacalot,MA,,41.8119444,-70.6500000
us,camp chappa challa,Camp Chappa Challa,MA,,42.0500000,-70.6666667
us,camp chimney corners,Camp Chimney Corners,MA,,42.2811111,-73.0722222
us,camp cielo celeste,Camp Cielo Celeste,MA,,42.6019444,-71.4458333
us,camp collier,Camp Collier,MA,,42.6188889,-71.9644444
us,camp danbee,Camp Danbee,MA,,42.4427778,-73.0758333
us,camp edwards,Camp Edwards,MA,,41.6569444,-70.5444444
us,camp emerson,Camp Emerson,MA,,42.4325000,-73.1333333
us,camp glenmere,Camp Glenmere,MA,,42.1861111,-73.1936111
us,camp green eyrie,Camp Green Eyrie,MA,,42.4972222,-71.5972222
us,camp greylock,Camp Greylock,MA,,42.3000000,-73.0680556
us,camp herbron,Camp Herbron,MA,,41.9097222,-71.3013889
us,camp howe,Camp Howe,MA,,42.4519444,-72.7930556
us,camp immaculate heart,Camp Immaculate Heart,MA,,42.6458333,-71.4950000
us,camp jayson,Camp Jayson,MA,,42.1875000,-73.1980556
us,camp kingsmont,Camp Kingsmont,MA,,42.3013889,-73.4144444
us,camp kinneywood,Camp Kinneywood,MA,,42.2972222,-71.8625000
us,camp kiwanis,Camp Kiwanis,MA,,42.6961111,-71.3772222
us,camp lenore,Camp Lenore,MA,,42.4397222,-73.0930556
us,camp lincoln hill,Camp Lincoln Hill,MA,,42.0708333,-71.2152778
us,camp mah-kee-nac,Camp Mah-Kee-Nac,MA,,42.3402778,-73.3097222
us,camp marion white,Camp Marion White,MA,,42.4152778,-73.3166667
us,camp mary day,Camp Mary Day,MA,,42.3272222,-71.3263889
us,camp massapoag,Camp Massapoag,MA,,42.6500000,-71.4983333
us,camp meadowlark,Camp Meadowlark,MA,,42.2069444,-73.2111111
us,camp merrill,Camp Merrill,MA,,42.4888889,-73.2452778
us,camp merriwood,Camp Merriwood,MA,,41.7930556,-71.1041667
us,camp mishannock,Camp Mishannock,MA,,41.9555556,-70.7388889
us,camp mohawk,Camp Mohawk,MA,,42.5336111,-73.2008333
us,camp muriel flagg,Camp Muriel Flagg,MA,,42.7411111,-73.1855556
us,camp nashoba,Camp Nashoba,MA,,42.6027778,-71.4480556
us,camp neyati,Camp Neyati,MA,,42.1972222,-71.9430556
